1;16;BCO.BRASIL AG 0016-7 - FLORIANOPOLIS;;;7
1;29;GUARAPUAVA;;;9
1;30;BCO.BRASIL AG 30-2 - PONTA GROSSA - PR;;;2
1;34;BAGE;;;5
1;35;LIVRAMENTO;;;3
1;38;BANCO BRASIL-AG 0038-8 JOINVILLE;;;8
1;42;CACHOEIRA DO SU;;;6
1;45;URUGUAIANA;;;0
1;48;FARROUPILHA;;;6
1;84;RIO GRANDE;;;1
1;89;CAXIAS DO SUL;;;2
1;92;PASSO FUNDO;;;2
1;126;SANTA MARIA;;;0
1;132;ERECHIM;;;5
1;138;SANTO ANGELO;;;4
1;139;LAJEADO;;;2
1;144;ALEGRETE;;;9
1;147;JAGUARAO;;;3
1;153;SAO GABRIEL;;;8
1;169;BCO.BRASIL AG 169-4- QUARAI;;;4
1;170;VACARIA;;;8
1;180;SANTA CRUZ;;;5
1;181;BENTO GONCALVES;;;3
1;182;BCO.BRASIL AG 182-1 - IRATI;;;1
1;185;SAO LEOPOLDO;;;6
1;187;SAO BORJA;;;2
1;192;CAMAQUA;;;9
1;193;BCO.BRASIL AG 193-7 - CRUZ ALTA;;;7
1;195;DOM PEDRITO;;;3
1;201;TUBARAO;;;1
1;206;MAFRA;;;2
1;217;BCO.BRASIL AG 217-8 - UNIÃO DA VITORIA PR;;;8
1;235;BCO.BRASIL AG 0235-6 - STA.VITORIA PALMAR;;;6
1;237;BANCO SICREDI - AG 237 FREDERICO;;;
1;263;BCO.BRASIL AG 263-1 TAPES;;;1
1;271;ITAQUI;;;2
1;299;BCO.BRASIL AG 299-2 - GUARAPUAVA;;;2
1;304;RIO PARDO;;;2
1;305;ITAJAI;;;0
1;307;LAGES;;;7
1;318;MONTENEGRO;;;2
1;321;CHAPECO;;;2
1;327;BCO.BRASIL AG 327-1 - SAO LOURENÇO DO SUL;;;1
1;330;ROSARIO DO SUL;;;1
1;337;TUPANCIRETA;;;9
1;338;ARROIO GRANDE;;;7
1;339;SANTA ROSA;;;5
1;342;GUAIBA;;;5
