NUMEMP;CODFIL;RAZSOC;NOMFIL;COD_NIVEL_ORG;ENDFIL;CPLFIL;ENDNUM;NOMBAI;CODEST;CODCID;NOMCID;DDITEL;DDDTEL;NUMTEL;TIPFIL;TIPINS;NUMCGC;INSCEI;INSEST;INSMUN;ATIIRF;ATIRAI;NUMCNO;NCAEFP;CNAFIS;TIPCAE;TIPLGR;CODCEP
008;024;;PRM TRES PASSOS;3;BENTO GONCALVES;;411;CENTRO;RS;72;TRES PASSOS;;;;F;1;92012467002466;;;;47.81-4/00;5232;;;47.81-4/00;;R;98600000
008;025;;GRZ SANTA MARIA;3;DO ACAMPAMENTO;;224;CENTRO;RS;2;SANTA MARIA;;;;F;1;92012467002547;;;;47.81-4/00;5232;;;47.81-4/00;;R;97050000
008;027;;PASSO FUNDO;3;RUA BENTO GONCALVES;;708;CENTRO;RS;1;PASSO FUNDO;;;;F;1;92012467002709;;;;47.81-4/00;5232;;;47.81-4/00;;R;99010012
008;028;;PRM NOVA PRATA;3;BORGES DE MEDEIROS;;1100;CENTRO;RS;463;NOVA PRATA;;;;F;1;92012467002890;;;;47.81-4/00;5232;;;47.81-4/00;;AV;95320000
008;029;;CHAPECO;3;RUA JOAO MARTINS;-D;681;INDUSTRIAL;SC;47;CHAPECO;;;;F;1;92012467002970;;;;47.81-4/00;5232;;;47.81-4/00;;R;89803040
008;032;;PRM GUAPORE;3;JULIO CAMPOS;;01;CENTRO;RS;490;GUAPORE;;;;F;1;92012467003276;;;;47.81-4/00;5232;;;47.81-4/00;;R;99200000
008;033;;TOT SANTO ANGELO;3;MARECHAL FLORIANO;SALA 01;1387;CENTRO;RS;3;SANTO ANGELO;;;;F;1;92012467003357;;;;47.59-8/99;5232;;;47.59-8/99;;R;98801650
008;034;;GRZ BAGE;3;SETE DE SETEMBRO;;879;CENTRO;RS;45;BAGE;;;;F;1;92012467003438;;;;47.81-4/00;5232;;;47.81-4/00;;AV;96400006
008;037;;GRZ SAO BORJA;3;GENERAL MARQUES;SALA 101;969;CENTRO;RS;44;SAO BORJA;;;;F;1;92012467003780;;;;47.81-4/00;5232;;;47.81-4/00;;R;97670000
008;038;;TOT BAGE;3;BENTO GONCALVES;D;361;CENTRO;RS;45;BAGE;;;;F;1;92012467003861;;;;47.59-8/99;5232;;;47.59-8/99;;R;96400201
008;039;;TOT SANTA MARIA;3;NOSSA SENHORA DAS DORES;;847;CENTRO;RS;2;SANTA MARIA;;;;F;1;92012467003942;;;;47.81-4/00;5232;;;47.81-4/00;;AV;97050530
008;040;;PRM PELOTAS;3;07 DE SETEMBRO;;263;CENTRO;RS;61;PELOTAS;;;;F;1;92012467004086;;;;47.81-4/00;5232;;;47.81-4/00;;R;96015300
008;041;;GRZ ESTEIO;3;PRESIDENTE VARGAS;sala 102;1698;CENTRO;RS;86;ESTEIO;;;;F;1;92012467004167;;;;47.81-4/00;5232;;;47.81-4/00;;AV;93260048
008;042;;PRM SANTANA DO LIVRAMENTO;3;VASCO ALVES;;923;CENTRO;RS;53;SANTANA DO LIVRAMENTO;;;;F;1;92012467004248;;;;47.81-4/00;5232;;;47.81-4/00;;R;97573550
008;043;;PRM SANTO AUGUSTO;3;DO COMERCIO;;846;CENTRO;RS;106;SANTO AUGUSTO;;;;F;1;92012467004329;;;;47.81-4/00;5232;;;47.81-4/00;;AV;98590000
008;044;;GRZ PASSO FUNDO;3;PRESIDENTE VARGAS;;20;CENTRO;RS;1;PASSO FUNDO;;;;F;1;92012467004400;;;;47.81-4/00;5232;;;47.81-4/00;;AV;99070000
008;045;;TAQUARA;3;RUA RIO BRANCO;;1213;CENTRO;RS;438;TAQUARA;;;;F;1;92012467004590;;;;47.81-4/00;5232;;;47.81-4/00;;R;95600000
008;046;;GRZ RIO GRANDE;3;GENERAL BACELAR;;265;CENTRO;RS;76;RIO GRANDE;;;;F;1;92012467004671;;;;47.81-4/00;5232;;;47.81-4/00;;R;96200370
008;047;;GRZ LAGES;3;CORREA PINTO;;180;CENTRO;SC;33;LAGES;;;;F;1;92012467004752;;;;47.81-4/00;5232;;;47.81-4/00;;R;88502200
008;048;;IJUI;3;RUA;DE MAIO, 439;13;CENTRO;RS;10;IJUI;;;;F;1;92012467004833;;;;47.81-4/00;5232;;;47.81-4/00;;R;98700000
008;049;;CAMPO MOURAO;3;AV MANOEL MENDES DE CAMARGO;;1555;CENTRO;PR;974;CAMPO MOURAO;;;;F;1;92012467004914;;;;47.81-4/00;5232;;;47.81-4/00;;R;87303000
008;050;;TOT SANTA ROSA;3;JULIO RAUBER;;127;CENTRO;RS;59;SANTA ROSA;;;;F;1;92012467005058;;;;47.59-8/99;5232;;;47.59-8/99;;R;98780331
008;051;;PRM GIRUA;3;FRANCISCO LEOPOLDO UHRY;;230;CENTRO;RS;437;GIRUA;;;;F;1;92012467005139;;;;47.81-4/00;5232;;;47.81-4/00;;R;98870000
008;052;;GRZ PATO BRANCO;3;TUPI;;2605;CENTRO;PR;73;PATO BRANCO;;;;F;1;92012467005210;;;;47.81-4/00;5232;;;47.81-4/00;;AV;85501268
008;053;;PRM PASSO FUNDO;3;PRESIDENTE VARGAS;;1959;SÃO CRISTÓVÃO;RS;1;PASSO FUNDO;;;;F;1;92012467005309;;;;47.81-4/00;5232;;;47.81-4/00;;AV;99070000
008;054;;PRM IBIRUBA;3;AVENIDA SETE DE SETEMBRO;;1223;CENTRO;RS;478;IBIRUBA;;;;F;1;92012467005481;;;;47.81-4/00;5232;;;47.81-4/00;;R;98200000
008;055;;TOT CRUZ ALTA;3;GENERAL CAMARA;;1100;CENTRO;RS;40;CRUZ ALTA;;;;F;1;92012467005562;;;;47.59-8/99;5232;;;47.59-8/99;;AV;98005112
008;056;;LAJEADO;3;AV.SENADOR ALBERTO PASQUALINI;;1230;CENTRO;RS;125;LAJEADO;;;;F;1;92012467005643;;;;47.81-4/00;5232;;;47.81-4/00;;R;95900000
008;057;;TOT CARAZINHO;3;POLIDORO ALBUQUERQUE;;55;CENTRO;RS;31;CARAZINHO;;;;F;1;92012467005724;;;;47.59-8/99;5232;;;47.59-8/99;;R;99500000
008;058;;TOT LAGES;3;MARECHAL FLORIANO;;373;CENTRO;SC;33;LAGES;;;;F;1;92012467005805;;;;47.59-8/99;5232;;;47.59-8/99;;AV;88501103
008;059;;TOT CACHOEIRA DO SUL;3;JULIO DE CASTILHOS;SALA 01;520;CENTRO;RS;39;CACHOEIRA DO SUL;;;;F;1;92012467005996;;;;47.59-8/99;5232;;;47.59-8/99;;AV;96501000
008;061;;GRZ BENTO GONCALVES;3;MARECHAL DEODORO;;127;CENTRO;RS;38;BENTO GONCALVES;;;;F;1;92012467006100;;;;47.81-4/00;5232;;;47.81-4/00;;R;95700160
008;063;;GRZ SAO JOSE;3;RUA GERONCIO THIVES;SALA 01 201;1079;CENTRO;SC;58;SAO JOSE;;;;F;1;92012467006372;;;;47.81-4/00;5232;;;47.81-4/00;;R;88117200
008;064;;PRM CANGUCU;3;OSVALDO ARANHA;;172;CENTRO;RS;388;CANGUCU;;;;F;1;92012467006453;;;;47.81-4/00;5232;;;47.81-4/00;;R;96600000
008;065;;PRM PAROBE;3;CORONEL JOAO CORREA;;127;CENTRO;RS;790;PAROBE;;;;F;1;92012467006534;;;;47.81-4/00;5232;;;47.81-4/00;;R;95630000
008;066;;TOT CONCORDIA;3;ORESTES FARINA;;205;CENTRO;SC;46;CONCORDIA;;;;F;1;92012467006615;;;;47.59-8/99;5232;;;47.59-8/99;;R;89700071
008;067;;CACHOEIRINHA;3;AV.GENERAL FLORES DA CUNHA;;266;CENTRO;RS;87;CACHOEIRINHA;;;;F;1;92012467006704;;;;47.81-4/00;5232;;;47.81-4/00;;R;94910000
008;068;;TOT FREDERICO WESTPHALEN;3;LUIZ MILANI;SL COMER 02;650;CENTRO;RS;48;FREDERICO WESTPHALEN;;;;F;1;92012467006887;;;;47.59-8/99;5232;;;47.59-8/99;;AV;98400000
008;069;;PATO BRANCO;3;AV.BRASIL;;45;CENTRO;PR;73;PATO BRANCO;;;;F;1;92012467006968;;;;47.81-4/00;5232;;;47.81-4/00;;R;85501000
008;070;;CURITIBA;3;RUA JOSE LOUREIRO;;603;CENTRO;PR;116;CURITIBA;;;;F;1;92012467007000;;;;47.81-4/00;5232;;;47.81-4/00;;R;90010010
008;071;;GRZ PORTO ALEGRE;3;RUA VOLUNTARIOS DA PATRIA;E 310;294;CENTRO;RS;27;PORTO ALEGRE;;;;F;1;92012467007182;;;;47.81-4/00;5232;;;47.81-4/00;;R;90030001
008;072;;NOVO HAMBURGO;3;AV PEDRO ADAMS FILHO;;5495;CENTRO;RS;69;NOVO HAMBURGO;;;;F;1;92012467007263;;;;47.81-4/00;5232;;;47.81-4/00;;R;93310560
008;073;;PRM TRES COROAS;3;MUNDO NOVO;;184;CENTRO;RS;1031;TRES COROAS;;;;F;1;92012467007344;;;;47.81-4/00;5232;;;47.81-4/00;;AV;95660000
008;074;;PRM FRAIBURGO;3;PADRE BIAGGIO SIMONETTI;;142;CENTRO;SC;685;FRAIBURGO;;;;F;1;92012467007425;;;;47.81-4/00;5232;;;47.81-4/00;;R;89580000
008;075;;PRM DOIS VIZINHOS;3;PRUDENTE DE MORAIS;;528;CENTRO NORTE;PR;927;DOIS VIZINHOS;;;;F;1;92012467007506;;;;47.81-4/00;5232;;;47.81-4/00;;R;85660000
008;076;;SAO MIGUEL DO OESTE;3;RUA SANTOS DUMOND;ESQ.ALM.BAR;733;CENTRO;SC;145;SAO MIGUEL DO OESTE;;;;F;1;92012467007697;;;;47.81-4/00;5232;;;47.81-4/00;;R;89900000
008;079;;TOT FRANCISCO BELTRAO;3;PONTA GROSSA;;1965;CENTRO;PR;107;FRANCISCO BELTRAO;;;;F;1;92012467007930;;;;47.59-8/99;5232;;;47.59-8/99;;R;85601600
008;080;;PRM QUARAI;3;SETE DE SETEMBRO;;930;CENTRO;RS;346;QUARAI;;;;F;1;92012467008073;;;;47.81-4/00;5232;;;47.81-4/00;;AV;97560000
008;081;;ESTEIO;3;AV.PRESIDENTE VARGAS;;760;CENTRO;RS;86;ESTEIO;;;;F;1;92012467008154;;;;47.81-4/00;5232;;;47.81-4/00;;R;93260004
008;082;;PRM TRIUNFO;3;LUIZ BARRETO;SALA 02;471;CENTRO;RS;662;TRIUNFO;;;;F;1;92012467008235;;;;47.81-4/00;5232;;;47.81-4/00;;R;95840000
008;083;;TOT SANTA MARIA;3;NOSSA SRA DE MEDIANEIRA;;1055;CENTRO;RS;2;SANTA MARIA;;;;F;1;92012467008316;;;;47.59-8/99;5232;;;47.59-8/99;;AV;97060003
008;084;;TOT BENTO GONCALVES;3;BARAO DO RIO BRANCO;SALA 2;402;CENTRO;RS;38;BENTO GONCALVES;;;;F;1;92012467008405;;;;47.59-8/99;5232;;;47.59-8/99;;R;95700168
008;085;;TRES DE MAIO;3;RUA PADRE CACIQUE;;1101;CENTRO;RS;90;TRES DE MAIO;;;;F;1;92012467008588;;;;47.81-4/00;5232;;;47.81-4/00;;R;98910000
008;086;;TOT PELOTAS;3;PRACA 20 DE SETEMBRO;;482;CENTRO;RS;61;PELOTAS;;;;F;1;92012467008669;;;;47.81-4/00;5232;;;47.81-4/00;;PC;96015360
008;087;;TOT ALEGRETE;3;RUA BARAO DO AMAZONAS;;462;CENTRO;RS;57;ALEGRETE;;;;F;1;92012467008740;;;;47.59-8/99;5232;;;47.59-8/99;;R;97542100
008;088;;TOT XANXERE;3;CORONEL PASSOS MAIA;SALA 01;530;CENTRO;SC;65;XANXERE;;;;F;1;92012467008820;;;;47.59-8/99;5232;;;47.59-8/99;;R;89820000
008;089;;TOT SANTANA DO LIVRAMENTO;3;HUGOLINO ANDRADE;;279;CENTRO;RS;53;SANTANA DO LIVRAMENTO;;;;F;1;92012467008901;;;;47.59-8/99;5232;;;47.59-8/99;;R;97573577
008;092;;TOT VACARIA;3;JULIO DE CASTILHOS;;1176;CENTRO;RS;54;VACARIA;;;;F;1;92012467009207;;;;47.59-8/99;5232;;;47.59-8/99;;AV;95200040
008;093;;GRZ SAO LEOPOLDO;3;INDEPENDENCIA;;905;CENTRO;RS;52;SAO LEOPOLDO;;;;F;1;92012467009398;;;;47.81-4/00;5232;;;47.81-4/00;;AV;93010003
008;094;;TOT SAO BORJA;3;EDDIE FREIRE NUNES;;1999;CENTRO;RS;44;SAO BORJA;;;;F;1;92012467009479;;;;47.59-8/99;5232;;;47.59-8/99;;R;97670000
008;095;;PRM SAO BORJA;3;GENERAL MARQUES;;850;CENTRO;RS;44;SAO BORJA;;;;F;1;92012467009550;;;;47.81-4/00;5232;;;47.81-4/00;;R;97670000
008;096;;PRM SANTA CRUZ DO SUL;3;VINTE E OITO DE SETEMBRO;;396;CENTRO;RS;9;SANTA CRUZ DO SUL;;;;F;1;92012467009630;;;;47.81-4/00;5232;;;47.81-4/00;;R;96810042
008;097;;TOT PASSO FUNDO;3;GENERAL CANABARRO;;718;CENTRO;RS;1;PASSO FUNDO;;;;F;1;92012467009711;;;;47.59-8/99;5232;;;47.59-8/99;;R;99010190
008;099;;TOT LAGES;3;LUIZ DE CAMOES;;683;CORAL;SC;33;LAGES;;;;F;1;92012467009983;;;;47.59-8/99;5232;;;47.59-8/99;;AV;88523000
008;100;;GRZ URUGUAIANA;3;DOMINGOS DE ALMEIDA;PREDIO;1932;CENTRO;RS;99;URUGUAIANA;;;;F;1;92012467010051;;;;47.81-4/00;5232;;;47.81-4/00;;R;97501516
008;105;;TOT MONTENEGRO;3;RAMIRO BARCELOS;;2519;CENTRO;RS;91;MONTENEGRO;;;;F;1;92012467010566;;;;47.59-8/99;5232;;;47.59-8/99;;R;95780000
008;107;;FARROUPILHA;3;RUA;DE MAIO,351;13;CENTRO;RS;25;FARROUPILHA;;;;F;1;92012467010728;;;;47.81-4/00;5232;;;47.81-4/00;;R;95180000
008;108;;TOT SANTIAGO;3;GETULIO VARGAS;;1395;CENTRO;RS;66;SANTIAGO;;;;F;1;92012467010809;;;;47.59-8/99;5232;;;47.59-8/99;;AV;97700065
008;111;;CAMPOS NOVOS;3;AV.JUSCELINO KUBITSCHEK;;584;CENTRO;SC;96;CAMPOS NOVOS;;;;F;1;92012467011104;;;;47.81-4/00;5232;;;47.81-4/00;;R;89620000
008;112;;TOT IJUI;3;RUA DO COMERCIO;;33;CENTRO;RS;10;IJUI;;;;F;1;92012467011295;;;;47.59-8/99;5232;;;47.59-8/99;;R;98700000
008;113;;TOT TRES PASSOS;3;RUA DALTRO FILHO;;753;CENTRO;RS;72;TRES PASSOS;;;;F;1;92012467011376;;;;47.59-8/99;5232;;;47.59-8/99;;R;98600000
008;116;;TOLEDO;3;RUA BARAO DO RIO BRANCO;;2242;CENTRO;PR;64;TOLEDO;;;;F;1;92012467011619;;;;47.81-4/00;5232;;;47.81-4/00;;R;85900030
008;117;;TOT SOLEDADE;3;CORONEL FALKEMBACK;SALA 02 E 03;807;CENTRO;RS;130;SOLEDADE;;;;F;1;92012467011708;;;;47.59-8/99;5232;;;47.59-8/99;;R;99300000
008;120;;TOT PASSO FUNDO;3;BRASIL LESTE;;925;PETROPOLIS;RS;1;PASSO FUNDO;;;;F;1;92012467012003;;;;47.59-8/99;5232;;;47.59-8/99;;AV;99050073
276;121;;PRM PORTO ALEGRE;3;RUA VOLUNTARIOS DA PATRIA;;294;CENTRO;RS;27;PORTO ALEGRE;;;;F;1;06018086000247;;;;68.10-2/02;7020;;;68.10-2/02;;R;90030001
008;121;;PRM SAO BORJA;3;PRESIDENTE VARGAS;;1206;CENTRO;RS;44;SAO BORJA;;;;F;1;92012467012186;;;;47.81-4/00;5232;;;47.81-4/00;;AV;97670000
008;122;;CHAPECO;3;AV.GETULIO DORNELLES VARGAS;N;389;CENTRO;SC;47;CHAPECO;;;;F;1;92012467012267;;;;47.81-4/00;5232;;;47.81-4/00;;R;89802000
008;124;;PRM SANTO ANGELO;3;VINTE CINCO DE JULHO;;400;CENTRO;RS;3;SANTO ANGELO;;;;F;1;92012467012429;;;;47.81-4/00;5232;;;47.81-4/00;;R;98801670
008;125;;PRM ERECHIM;3;NELSON EHLERS;LOJA TERREA;94;CENTRO;RS;63;ERECHIM;;;;F;1;92012467012500;;;;47.81-4/00;5232;;;47.81-4/00;;R;99700398
008;126;;TOT SANTA CRUZ DO SUL;3;RUA FERNANDO ABOTT;;545;CENTRO;RS;9;SANTA CRUZ DO SUL;;;;F;1;92012467012690;;;;47.59-8/99;5232;;;47.59-8/99;;R;96810148
008;127;;CAMAQUA;3;RUA MARECHAL FLORIANO;;1096;CENTRO;RS;81;CAMAQUA;;;;F;1;92012467012771;;;;47.81-4/00;5232;;;47.81-4/00;;R;96180000
127;127;;PASSO FUNDO;3;VALENTIN GRAZZIOTIN;;77;SÃO CRISTÓVÃO;RS;1;PASSO FUNDO;;;;F;1;90618372000179;;;;94.30-8/00;9199;;;94.30-8/00;;R;99060030
008;128;;TOT SAO GABRIEL;3;MASCARENHAS DE MORAES;;781;CENTRO;RS;22;SAO GABRIEL;;;;F;1;92012467012852;;;;47.59-8/99;5232;;;47.59-8/99;;R;97300370
008;129;;PRM PALMEIRA DAS MISSOES;3;INDEPENDENCIA;;1375;CENTRO;RS;6;PALMEIRA DAS MISSOES;;;;F;1;92012467012933;;;;47.81-4/00;5232;;;47.81-4/00;;AV;98300000
008;133;;TOT CURITIBANOS;3;ROTARY;;308;CENTRO;SC;74;CURITIBANOS;;;;F;1;92012467013310;;;;47.59-8/99;5232;;;47.59-8/99;;R;89520000
008;135;;CONCORDIA;3;RUA DR. MARURI;;1044;CENTRO;SC;46;CONCORDIA;;;;F;1;92012467013581;;;;47.81-4/00;5232;;;47.81-4/00;;R;89700000
008;136;;JOINVILLE;3;AV.GETULIO VARGAS;;1295;CENTRO;SC;70;JOINVILLE;;;;F;1;92012467013662;;;;47.81-4/00;5232;;;47.81-4/00;;R;89202003
008;137;;BALNEARIO CAMBORIU;3;RUA AVENIDA DO ESTADO;;3124;CENTRO;SC;110;BALNEARIO CAMBORIU;;;;F;1;92012467013743;;;;47.81-4/00;5232;;;47.81-4/00;;R;88330000
008;138;;PRM RIO GRANDE;3;24 DE MAIO 206;;326;CENTRO;RS;76;RIO GRANDE;;;;F;1;92012467013824;;;;47.81-4/00;5232;;;47.81-4/00;;R;96200003
008;140;;PRM UNIAO DA VITORIA;3;DR CRUZ MACHADO;;152;CENTRO;PR;71;UNIAO DA VITORIA;;;;F;1;92012467014049;;;;47.81-4/00;5232;;;47.81-4/00;;R;84600175
008;141;;TOT UNIAO DA VITORIA;3;VISCONDE DE GUARAPUAVA;;142;CENTRO;PR;71;UNIAO DA VITORIA;;;;F;1;92012467014120;;;;47.59-8/99;5232;;;47.59-8/99;;AV;84600195
008;142;;TOT ROSARIO DO SUL;3;JOAO BRASIL;;1167;CENTRO;RS;50;ROSARIO DO SUL;;;;F;1;92012467014200;;;;47.59-8/99;5232;;;47.59-8/99;;R;97590000
008;143;;PRM IJUI;3;JOSE BONIFACIO;SL 2;444;CENTRO;RS;10;IJUI;;;;F;1;92012467014391;;;;47.81-4/00;5232;;;47.81-4/00;;R;98700000
008;145;;PRM URUGUAIANA;3;DUQUE DE CAXIAS;;1530;CENTRO;RS;99;URUGUAIANA;;;;F;1;92012467014553;;;;47.81-4/00;5232;;;47.81-4/00;;AV;97501584
008;146;;TOT ARARANGUA;3;SETE DE SETEMBRO;;653;CENTRO;SC;75;ARARANGUA;;;;F;1;92012467014634;;;;47.81-4/00;5232;;;47.81-4/00;;AV;88900000
008;149;;TUBARAO;3;RUA CORONEL CABRAL;;338;CENTRO;SC;83;TUBARAO;;;;F;1;92012467014987;;;;47.81-4/00;5232;;;47.81-4/00;;R;88701050
008;150;;PONTA GROSSA;3;RUA MAURICIO DE NASSAU;;7;CENTRO;PR;30;PONTA GROSSA;;;;F;1;92012467015010;;;;47.81-4/00;5232;;;47.81-4/00;;R;84070330
008;151;;TOT RIO GRANDE;3;RUA GENERAL OSORIO;;495;CENTRO;RS;76;RIO GRANDE;;;;F;1;92012467015100;;;;47.59-8/99;5232;;;47.59-8/99;;R;96200400
008;152;;GUARAPUAVA;3;AV.PREF.MOACIR JULIO SILVESTRE;;2452;CENTRO;PR;77;GUARAPUAVA;;;;F;1;92012467015282;;;;47.81-4/00;5232;;;47.81-4/00;;R;85015370
008;153;;TOT PELOTAS;3;RUA SANTOS DUMONT;;647;CENTRO;RS;61;PELOTAS;;;;F;1;92012467015363;;;;47.81-4/00;5232;;;47.81-4/00;;R;96020380
008;154;;PRM VACARIA;3;RAMIRO BARCELOS;;1142;CENTRO;RS;54;VACARIA;;;;F;1;92012467015444;;;;47.81-4/00;5232;;;47.81-4/00;;R;95200058
008;155;;PRM SAO LUIZ GONZAGA;3;SENADOR PINHEIRO MACHADO;;2486;CENTRO;RS;79;SAO LUIZ GONZAGA;;;;F;1;92012467015525;;;;47.81-4/00;5232;;;47.81-4/00;;AV;97800000
