codigo_banco,codigo_agencia,nome_agencia,estado,codigo_cidade,digito_agencia
1;16;BCO.BRASIL AG 0016-7 - FLORIAN;RS;4314100;7
1;29;GUARAPUAVA;RS;4314100;9
1;30;BCO.BRASIL AG 30-2 - PONTA GRO;RS;4314100;2
1;34;BAGE;RS;4314100;5
1;35;LIVRAMENTO;RS;4314100;3
1;38;BANCO BRASIL-AG 0038-8 JOINVIL;RS;4314100;8
1;42;CACHOEIRA DO SU;RS;4314100;6
1;45;URUGUAIANA;RS;4314100;0
1;48;FARROUPILHA;RS;4314100;6
1;84;RIO GRANDE;RS;4314100;1
1;89;CAXIAS DO SUL;RS;4314100;2
1;92;PASSO FUNDO;RS;4314100;2
1;126;SANTA MARIA;RS;4314100;0
1;132;ERECHIM;RS;4314100;5
1;138;SANTO ANGELO;RS;4314100;4
1;139;LAJEADO;RS;4314100;2
1;144;ALEGRETE;RS;4314100;9
1;147;JAGUARAO;RS;4314100;3
1;153;SAO GABRIEL;RS;4314100;8
1;169;BCO.BRASIL AG 169-4- QUARAI;RS;4314100;4
1;170;VACARIA;RS;4314100;8
1;180;SANTA CRUZ;RS;4314100;5
1;181;BENTO GONCALVES;RS;4314100;3
1;182;BCO.BRASIL AG 182-1 - IRATI;RS;4314100;1
1;185;SAO LEOPOLDO;RS;4314100;6
1;187;SAO BORJA;RS;4314100;2
1;192;CAMAQUA;RS;4314100;9
1;193;BCO.BRASIL AG 193-7 - CRUZ ALT;RS;4314100;7
1;195;DOM PEDRITO;RS;4314100;3
1;201;TUBARAO;RS;4314100;1
1;206;MAFRA;RS;4314100;2
1;217;BCO.BRASIL AG 217-8 - UNIÃO DA;RS;4314100;8
1;235;BCO.BRASIL AG 0235-6 - STA.VIT;RS;4314100;6
1;237;BANCO SICREDI - AG 237 FREDERI;RS;4314100;
1;263;BCO.BRASIL AG 263-1 TAPES;RS;4314100;1
1;271;ITAQUI;RS;4314100;2
1;299;BCO.BRASIL AG 299-2 - GUARAPUA;RS;4314100;2
1;304;RIO PARDO;RS;4314100;2
1;305;ITAJAI;RS;4314100;0
1;307;LAGES;RS;4314100;7
1;318;MONTENEGRO;RS;4314100;2
1;321;CHAPECO;RS;4314100;2
1;327;BCO.BRASIL AG 327-1 - SAO LOUR;RS;4314100;1
1;330;ROSARIO DO SUL;RS;4314100;1
1;337;TUPANCIRETA;RS;4314100;9
1;338;ARROIO GRANDE;RS;4314100;7
1;339;SANTA ROSA;RS;4314100;5
1;342;GUAIBA;RS;4314100;5
1;343;CANOINHAS;RS;4314100;3
1;353;SANTIAGO;RS;4314100;0
1;358;CARAZINHO;RS;4314100;1
1;362;PALMEIRA/FREDER;RS;4314100;X
1;363;BCO.BRASIL AG - 363-8 - LAGOA;RS;4314100;8
1;369;BCO.BRASIL AG 369-7-STO.ANTONI;RS;4314100;7
1;371;IJUI;RS;4314100;9
1;375;CAÇADOR;RS;4314100;1
1;403;BCO.BRASIL AG 403-0 -VIDEIRA -;RS;4314100;0
1;406;CAMPO MOURAO;RS;4314100;5
1;407;CRICIUMA;RS;4314100;3
1;409;BCO.BRASIL AG 409-X - NOVA PRA;RS;4314100;X
1;410;BCO.BRASIL AG 410-3 - CONCORDI;RS;4314100;3
1;416;BCO.BRASIL AG - 416-2 - TAQUAR;RS;4314100;2
1;423;BANCO DO BRASIL AG- 423-5 - EN;RS;4314100;5
1;424;BCO.BRASIL AG 724-2 - SAO FCO.;RS;4314100;2
1;430;ESTRELA;RS;4314100;8
1;431;GUAPORE;RS;4314100;6
1;437;SAO L GONZAGA;RS;4314100;5
1;444;BCO.BRASIL AG 444-8- GETULIO V;RS;4314100;8
1;453;BCO.BRASIL AG-0453-7 AGUDO;RS;4314100;7
1;457;TRES PASSOS;RS;4314100;X
1;465;BCO.BRASIL AGENCIA - 0465-0 -;RS;4314100;0
1;479;CANOAS;RS;4314100;0
1;485;BCO.BRASIL AG. 485-5 - CASTRO;RS;4314100;5
