codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;codigo_nova_empresa;codigo_novo_cadastro;codigo_nova_filial;tipo_admissao;numero_ficha_registro;tipo_admissao_colaborador
8;1;80047;16/11/1998;8;80047;034;2;0;1
8;1;80048;03/11/1998;8;80048;037;2;0;1
8;1;80049;20/11/1998;8;80049;044;2;0;1
8;1;80050;16/11/1998;8;80050;061;2;0;1
8;1;80051;16/11/1998;8;80051;071;2;0;1
8;1;80052;07/11/1998;8;80052;093;2;0;1
8;1;80053;16/10/1998;8;80053;093;2;0;1
8;1;80054;16/10/1998;8;80054;093;2;0;1
8;1;80055;08/10/1998;8;80055;183;2;0;1
8;1;80056;03/10/1998;8;80056;257;2;0;1
8;1;80057;05/10/1998;8;80057;257;2;0;1
8;1;80058;01/12/1998;8;80058;272;2;0;1
8;1;80059;19/01/1999;8;80059;013;2;0;1
8;1;80060;17/12/1998;8;80060;255;2;0;1
8;1;80061;16/11/1998;8;80061;241;2;0;1
8;1;80062;16/01/1999;8;80062;041;2;0;1
8;1;80063;16/01/1999;8;80063;041;2;0;1
8;1;80064;20/01/1999;8;80064;261;2;0;1
8;1;80065;19/01/1999;8;80065;081;2;0;1
8;1;80066;08/02/1999;8;80066;245;2;0;1
8;1;80067;01/02/1999;8;80067;093;2;0;1
8;1;80068;04/02/1999;8;80068;044;2;0;1
8;1;80069;10/02/1999;8;80069;044;2;0;1
8;1;80070;18/02/1999;8;80070;265;2;0;1
4;1;80071;17/03/1999;4;80071;001;2;0;1
8;1;80072;22/03/1999;8;80072;013;2;0;1
8;1;80073;02/10/1998;8;80073;044;2;0;1
8;1;80074;05/04/1999;8;80074;013;2;0;1
8;1;80075;05/04/1999;8;80075;001;2;0;1
8;1;80075;12/04/1999;8;80075;001;2;0;1
8;1;80076;12/04/1999;8;80076;001;2;0;1
8;1;80077;01/04/1999;8;80077;061;2;0;1
8;1;80078;12/04/1999;8;80078;033;2;0;1
8;1;80079;22/04/1999;8;80079;262;2;0;1
8;1;80080;12/04/1999;8;80080;186;2;0;1
8;1;80082;03/05/1999;8;80082;022;2;0;1
8;1;80084;10/05/1999;8;80084;013;2;0;1
8;1;80085;10/05/1999;8;80085;061;2;0;1
