codigo_empresa;codigo_centro_custo;nome_centro_custo;data_criacao;data_extincao;texto_centro_custo
8;111;FILIAL  111 - CAMPOS NOVOS;01/01/1980;31/07/2024;111
8;112;FILIAL  112 - IJUI;01/01/1980;31/07/2024;112
8;113;FILIAL  113 - TRES PASSOS;01/01/1980;31/07/2024;113
8;116;FILIAL  116 - TOLEDO;01/01/1980;31/07/2024;116
8;117;FILIAL  117 - SOLEDADE;01/01/1980;31/07/2024;117
8;120;FILIAL  120 - PASSO FUNDO;01/01/1980;31/07/2024;120
8;121;FILIAL  121 - SAO BORJA;01/01/1980;;121
8;122;FILIAL  122 - CHAPECO;01/01/1980;31/07/2024;122
8;124;FILIAL  124 - SANTO ANGELO;01/01/1980;;124
8;125;FILIAL  125 - ERECHIM;01/01/1980;;125
8;126;FILIAL  126 - SANTA CRUZ DO SUL;01/01/1980;31/07/2024;126
8;127;FILIAL  127 - CAMAQUA;01/01/1980;31/07/2024;127
8;128;FILIAL  128 - SAO GABRIEL;01/01/1980;;128
8;129;FILIAL  129 - PALMEIRA DAS MISSOES;01/01/1980;;129
8;133;FILIAL  133 - CURITIBANOS;01/01/1980;;133
8;135;FILIAL  135 - CONCORDIA;01/01/1980;31/07/2024;135
8;136;FILIAL  136 - JOINVILLE;01/01/1980;31/07/2024;136
8;137;FILIAL  137 - BALNEARIO CAMBORIU;01/01/1980;;137
8;138;FILIAL  138 - RIO GRANDE;01/01/1980;;138
8;140;FILIAL  140 - UNIAO DA VITORIA;01/01/1980;;140
8;141;FILIAL  141 - UNIAO DA VITORIA;01/01/1980;;141
8;142;FILIAL  142 - ROSARIO DO SUL;01/01/1980;;142
8;143;FILIAL  143 - IJUI;01/01/1980;;143
8;145;FILIAL  145 - URUGUAIANA;01/01/1980;;145
8;146;FILIAL  146 - ARARANGUA;01/01/1980;;146
8;149;FILIAL  149 - TUBARAO;01/01/1980;;149
8;150;FILIAL  150 - PONTA GROSSA;01/01/1980;;150
8;151;FILIAL  151 - RIO GRANDE;01/01/1980;;151
8;152;FILIAL  152 - GUARAPUAVA;01/01/1980;;152
8;153;FILIAL  153 - PELOTAS;01/01/1980;;153
8;154;FILIAL  154 - VACARIA;01/01/1980;;154
8;155;FILIAL  155 - SAO LUIZ GONZAGA;01/01/1980;;155
8;156;FILIAL  156 - NOVO HAMBURGO;01/01/1980;;156
8;158;FILIAL  158 - PASSO FUNDO;01/01/1980;;158
