codigo_empresa;tipo_colaborador;cadastro_colaborador;data_pagamento;codigo_tabela_eventos;codigo_evento;referencia_evento;valor_evento
8;1;19;07/10/2006;1;850;0;0
8;1;19;07/10/2006;1;1600;0;3197
8;1;19;07/10/2006;1;2000;0;308
8;1;19;07/10/2006;1;2004;0;257
8;1;19;07/10/2006;1;2505;0;0
2;1;35;11/04/2006;1;650;0;0
2;1;35;11/04/2006;1;651;0;0
2;1;35;11/04/2006;1;659;0;0
2;1;35;11/04/2006;1;850;0;0
2;1;35;11/04/2006;1;1600;0;48
2;1;35;11/04/2006;1;2000;0;5
2;1;35;11/04/2006;1;2505;0;0
2;1;43;11/04/2006;1;650;0;0
2;1;43;11/04/2006;1;651;0;0
2;1;43;11/04/2006;1;659;0;0
2;1;43;11/04/2006;1;850;0;0
2;1;43;11/04/2006;1;1600;0;48
2;1;43;11/04/2006;1;2000;0;5
2;1;43;11/04/2006;1;2505;0;0
8;1;78;08/03/2011;1;850;0;0
8;1;78;08/03/2011;1;1600;0;8000
8;1;78;08/03/2011;1;2000;0;406
8;1;78;08/03/2011;1;2004;0;1321
8;1;78;08/03/2011;1;2467;0;11
8;1;6947;08/06/2007;1;850;0;0
8;1;6947;08/06/2007;1;1600;0;0
8;1;6970;09/02/2023;1;200;0;77
8;1;6970;09/02/2023;1;222;0;21
8;1;6970;09/02/2023;1;305;0;3
8;1;6970;09/02/2023;1;650;0;2936
8;1;6970;09/02/2023;1;651;0;245
8;1;6970;09/02/2023;1;659;0;1060
8;1;6970;09/02/2023;1;850;0;245
8;1;6970;09/02/2023;1;2000;0;7
8;1;6970;09/02/2023;1;2003;0;18
8;1;6970;09/02/2023;1;2500;0;8
8;1;6970;09/02/2023;1;2505;0;245
8;1;6970;09/02/2023;1;9030;0;20
8;1;21563;09/04/2009;1;200;0;47
8;1;21563;09/04/2009;1;222;0;14
8;1;21563;09/04/2009;1;368;0;0
8;1;21563;09/04/2009;1;651;0;844
8;1;21563;09/04/2009;1;659;0;281
8;1;21563;09/04/2009;1;850;0;230
8;1;21563;09/04/2009;1;900;0;77
8;1;21563;09/04/2009;1;950;0;921
8;1;21563;09/04/2009;1;1650;0;5
8;1;21563;09/04/2009;1;2000;0;5
8;1;21563;09/04/2009;1;2003;0;18
8;1;21563;09/04/2009;1;2505;0;307
8;1;21831;17/08/2018;1;200;0;106
8;1;21831;17/08/2018;1;220;0;45
8;1;21831;17/08/2018;1;222;0;26
8;1;21831;17/08/2018;1;650;0;5319
8;1;21831;17/08/2018;1;659;0;1773
8;1;21831;17/08/2018;1;2000;0;14
8;1;21831;17/08/2018;1;2055;0;128
8;1;21831;17/08/2018;1;2500;0;14
8;1;24775;31/07/2020;1;222;0;0
8;1;24775;31/07/2020;1;850;0;0
8;1;24775;31/07/2020;1;900;0;0
8;1;24775;31/07/2020;1;950;0;0
8;1;24775;31/07/2020;1;1600;0;8970
8;1;24775;31/07/2020;1;2000;0;671
8;1;24775;31/07/2020;1;2004;0;1413
276;1;67563;23/08/2019;1;4;0;0
276;1;67563;23/08/2019;1;200;0;486
276;1;67563;23/08/2019;1;305;0;42
276;1;67563;23/08/2019;1;650;0;984
276;1;67563;23/08/2019;1;651;0;656
276;1;67563;23/08/2019;1;659;0;547
276;1;67563;23/08/2019;1;850;0;656
276;1;67563;23/08/2019;1;900;0;246
276;1;67563;23/08/2019;1;950;0;2951
276;1;67563;23/08/2019;1;1967;0;170
276;1;67563;23/08/2019;1;2000;0;52
276;1;67563;23/08/2019;1;2003;0;72
276;1;67563;23/08/2019;1;2457;0;0
276;1;67563;23/08/2019;1;2500;0;289
276;1;67563;23/08/2019;1;2505;0;902
276;1;67563;23/08/2019;1;9030;0;72
8;1;71617;03/10/2012;1;200;0;1947
8;1;71617;03/10/2012;1;220;0;628
8;1;71617;03/10/2012;1;222;0;361
8;1;71617;03/10/2012;1;305;0;40
8;1;71617;03/10/2012;1;368;0;0
8;1;71617;03/10/2012;1;650;0;3262
8;1;71617;03/10/2012;1;651;0;816
8;1;71617;03/10/2012;1;659;0;1359
8;1;71617;03/10/2012;1;850;0;2175
8;1;71617;03/10/2012;1;900;0;816
8;1;71617;03/10/2012;1;950;0;9787
