codigo_empresa;tipo_colaborador;cadastro_colaborador;data_pagamento;codigo_tabela_eventos;codigo_evento;referencia_evento;valor_evento
8;1;84069;21/03/2016;1;265;0,00;0,76
8;1;84069;21/03/2016;1;286;0,36;3,82
8;1;84069;21/03/2016;1;306;19,00;26,60
8;1;84069;21/03/2016;1;311;0,13;0,80
8;1;84069;21/03/2016;1;650;12,00;1589,34
8;1;84069;21/03/2016;1;659;0,00;529,78
8;1;84069;21/03/2016;1;850;2,00;266,90
8;1;84069;21/03/2016;1;900;3,00;396,91
8;1;84069;21/03/2016;1;950;90,00;4673,04
8;1;84069;21/03/2016;1;2000;8,00;59,57
8;1;84069;21/03/2016;1;2003;8,00;21,35
8;1;84069;21/03/2016;1;2053;0,00;44,85
8;1;84069;21/03/2016;1;2453;0,00;80,72
8;1;84069;21/03/2016;1;2505;0,00;663,81
8;1;92207;11/07/2011;1;200;4,00;108,62
8;1;92207;11/07/2011;1;222;5,00;27,15
8;1;92207;11/07/2011;1;650;12,00;1072,55
8;1;92207;11/07/2011;1;651;7,00;646,50
8;1;92207;11/07/2011;1;659;0,00;573,02
8;1;92207;11/07/2011;1;850;6,00;536,28
8;1;92207;11/07/2011;1;900;1,00;89,38
8;1;92207;11/07/2011;1;950;30,00;1093,59
8;1;92207;11/07/2011;1;1650;1,00;3,92
8;1;92207;11/07/2011;1;2000;8,00;10,86
8;1;92207;11/07/2011;1;2003;8,00;42,90
8;1;92207;11/07/2011;1;2459;0,00;814,64
8;1;92207;11/07/2011;1;2505;0,00;625,66
8;1;97896;27/05/2019;1;200;21,00;2494,01
8;1;97896;27/05/2019;1;220;0,00;1214,00
8;1;97896;27/05/2019;1;305;0,00;44,10
8;1;97896;27/05/2019;1;650;12,00;5297,16
8;1;97896;27/05/2019;1;651;3,00;1324,29
8;1;97896;27/05/2019;1;659;0,00;2207,15
8;1;97896;27/05/2019;1;850;5,00;2207,15
8;1;97896;27/05/2019;1;900;3,00;1324,29
8;1;97896;27/05/2019;1;950;90,00;15891,48
8;1;97896;27/05/2019;1;2000;11,00;407,88
8;1;97896;27/05/2019;1;2003;11,00;388,45
8;1;97896;27/05/2019;1;2004;15,00;140,22
8;1;97896;27/05/2019;1;2005;15,00;116,65
8;1;97896;27/05/2019;1;2500;8,00;1567,95
8;1;97896;27/05/2019;1;2505;0,00;3531,44
8;1;97896;27/05/2019;1;9030;8,00;282,51
6;1;100000;08/03/2011;1;650;0,00;0,00
6;1;100000;08/03/2011;1;651;0,00;0,00
6;1;100000;08/03/2011;1;659;0,00;0,00
6;1;100000;08/03/2011;1;850;0,00;0,00
6;1;100000;08/03/2011;1;1600;8,00;1760,00
6;1;100000;08/03/2011;1;2000;0,00;0,00
6;1;100000;08/03/2011;1;2003;0,00;0,00
6;1;100000;08/03/2011;1;2004;0,00;0,00
6;1;100022;09/01/2014;1;650;0,00;0,00
6;1;100022;09/01/2014;1;651;0,00;0,00
6;1;100022;09/01/2014;1;659;0,00;0,00
6;1;100022;09/01/2014;1;1600;0,00;0,00
8;1;109266;07/07/2006;1;200;7,00;240,77
8;1;109266;07/07/2006;1;220;0,00;154,47
8;1;109266;07/07/2006;1;222;4,00;31,62
8;1;109266;07/07/2006;1;651;8,00;1219,59
8;1;109266;07/07/2006;1;659;0,00;406,53
8;1;109266;07/07/2006;1;850;6,00;914,70
8;1;109266;07/07/2006;1;900;1,00;152,45
8;1;109266;07/07/2006;1;950;30,00;1829,39
8;1;109266;07/07/2006;1;1650;0,00;10,42
8;1;109266;07/07/2006;1;2000;7,65;32,65
8;1;109266;07/07/2006;1;2003;8,65;79,12
8;1;109266;07/07/2006;1;2014;0,00;17,44
8;1;109266;07/07/2006;1;2505;0,00;1067,15
8;1;116017;21/08/2007;1;200;14,00;544,08
8;1;116017;21/08/2007;1;220;0,00;204,87
8;1;116017;21/08/2007;1;222;4,00;59,92
8;1;116017;21/08/2007;1;650;12,00;1733,27
8;1;116017;21/08/2007;1;651;4,00;577,76
8;1;116017;21/08/2007;1;659;0,00;770,34
8;1;116017;21/08/2007;1;850;7,00;1011,07
8;1;116017;21/08/2007;1;900;1,00;144,44
8;1;116017;21/08/2007;1;950;30,00;1733,27
8;1;116017;21/08/2007;1;2000;7,65;61,87
8;1;116017;21/08/2007;1;2003;8,65;87,45
8;1;116017;21/08/2007;1;2014;27,50;285,87
8;1;116017;21/08/2007;1;2055;0,00;0,00
8;1;116017;21/08/2007;1;2505;0,00;1155,51
8;1;116131;18/07/2018;1;200;9,00;1678,46
8;1;116131;18/07/2018;1;220;0,00;1062,37
8;1;116131;18/07/2018;1;222;6,00;493,35
8;1;116131;18/07/2018;1;368;0,00;0,00
8;1;116131;18/07/2018;1;650;12,00;10780,59
8;1;116131;18/07/2018;1;651;5,00;4491,91
8;1;116131;18/07/2018;1;659;0,00;5090,83
8;1;116131;18/07/2018;1;850;6,00;5390,30
8;1;116131;18/07/2018;1;900;3,00;2695,15
8;1;116131;18/07/2018;1;950;90,00;32341,77
8;1;116131;18/07/2018;1;2000;11,00;355,75
8;1;116131;18/07/2018;1;2003;11,00;592,93
8;1;116131;18/07/2018;1;2004;7,50;44,64
8;1;116131;18/07/2018;1;2005;22,50;357,96
8;1;116131;18/07/2018;1;2055;3,33;186,31
8;1;116131;18/07/2018;1;2505;0,00;8085,45
8;1;116203;19/08/2008;1;200;12,00;610,37
8;1;116203;19/08/2008;1;220;0,00;446,00
8;1;116203;19/08/2008;1;222;4,00;84,51
8;1;116203;19/08/2008;1;650;12,00;2852,19
8;1;116203;19/08/2008;1;651;4,00;950,73
8;1;116203;19/08/2008;1;659;0,00;1267,64
8;1;116203;19/08/2008;1;850;7,00;1663,78
8;1;116203;19/08/2008;1;900;1,00;237,68
8;1;116203;19/08/2008;1;950;30,00;2852,19
8;1;116203;19/08/2008;1;2000;9,00;102,67
8;1;116203;19/08/2008;1;2003;11,00;183,01
8;1;116203;19/08/2008;1;2014;27,50;807,64
8;1;116203;19/08/2008;1;2505;0,00;1901,46
8;1;121827;13/12/2024;1;200;13,00;1267,77
8;1;121827;13/12/2024;1;222;7,00;266,23
8;1;121827;13/12/2024;1;265;0,00;5,48
8;1;121827;13/12/2024;1;286;0,25;5,80
8;1;121827;13/12/2024;1;297;0,93;21,59
8;1;121827;13/12/2024;1;305;0,00;38,13
8;1;121827;13/12/2024;1;650;12,00;3548,59
8;1;121827;13/12/2024;1;651;6,00;1814,20
8;1;121827;13/12/2024;1;659;0,00;1787,60
8;1;121827;13/12/2024;1;850;11,00;3271,72
8;1;121827;13/12/2024;1;900;2,00;594,86
8;1;121827;13/12/2024;1;950;60,00;7144,12
8;1;121827;13/12/2024;1;1650;1,00;26,88
8;1;121827;13/12/2024;1;2000;7,65;119,83
8;1;121827;13/12/2024;1;2003;9,38;362,80
8;1;121827;13/12/2024;1;2005;15,00;87,25
8;1;121827;13/12/2024;1;2201;11,00;1629,69
8;1;121827;13/12/2024;1;2500;8,00;696,87
8;1;121827;13/12/2024;1;2505;0,00;2236,89
8;1;121827;13/12/2024;1;9030;8,00;178,95
8;1;135186;14/10/2008;1;200;7,00;317,22
8;1;135186;14/10/2008;1;220;0,00;90,77
8;1;135186;14/10/2008;1;651;11,00;1602,80
8;1;135186;14/10/2008;1;659;0,00;534,27
