codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;sequencia_alteracao;codigo_motivo_alteracao;valor_salario_atual;tipo_salario;percentual_reajuste_concedido
6;1;381701;01/04/2017;12;7;1293,24;1;0
6;1;381701;01/04/2018;13;7;1344,97;1;0
6;1;381701;01/04/2019;14;2;1546,49;1;0
6;1;381701;01/04/2020;15;7;1584,38;1;0
6;1;381701;01/10/2020;16;12;1598,04;1;0
6;1;381701;01/04/2021;17;7;1708,9;1;0
6;1;381701;01/04/2022;18;7;1909,35;1;0
4;1;382976;22/04/2013;1;34;860;1;0
4;1;382976;01/04/2014;2;12;1015;1;0
4;1;382976;01/02/2015;3;29;1053,42;1;0
4;1;382976;01/04/2015;4;7;1100,46;1;0
4;1;382976;01/06/2015;5;2;1208,88;1;0
4;1;382976;01/04/2016;6;7;1327,72;1;0
4;1;382976;01/04/2017;7;7;1420,66;1;0
4;1;382976;01/04/2018;8;7;1477,49;1;0
1629;1;383056;03/05/2013;1;34;1000;1;0
6;1;384172;16/04/2014;1;34;950;1;0
6;1;384172;01/02/2015;2;29;1053,42;1;0
6;1;384172;01/04/2015;3;7;1100,46;1;0
6;1;384172;01/07/2015;4;2;1164,43;1;0
6;1;384172;01/04/2016;5;7;1278,9;1;0
6;1;384172;01/08/2016;6;12;1477,76;1;0
6;1;384172;01/04/2017;7;7;1581,2;1;0
6;1;384172;01/04/2018;8;7;1644,45;1;0
6;1;384172;01/04/2019;9;7;1721,24;1;0
6;1;384172;01/04/2020;10;7;1763,4;1;0
6;1;384172;01/10/2020;11;12;1778,59;1;0
6;1;384172;01/04/2021;12;7;1902;1;0
282;1;385066;05/01/2015;1;34;681,45;1;0
282;1;385066;01/02/2015;2;29;790,07;1;0
282;1;385066;01/06/2015;3;30;791,25;1;0
282;1;385066;19/11/2015;4;18;1055;1;0
282;1;385066;01/01/2016;5;12;1121,04;1;0
282;1;385066;01/02/2016;6;30;1155;1;0
282;1;385066;01/03/2016;7;12;1228,77;1;0
282;1;385066;01/06/2016;8;12;1256,27;1;0
282;1;385066;01/02/2017;9;7;1324,49;1;0
282;1;385066;01/03/2017;10;12;1344,21;1;0
282;1;385066;01/02/2018;11;7;1371,1;1;0
282;1;385066;01/03/2018;12;25;1398;1;0
282;1;385066;01/02/2019;13;7;1420,05;1;0
282;1;385066;01/03/2019;14;25;1460,9;1;0
282;1;385066;01/02/2020;15;7;1523,7;1;0
282;1;385066;01/02/2021;16;7;1565,3;1;0
282;1;385066;01/08/2021;17;8;1651,8;1;0
8;1;385154;05/02/2015;1;34;930;1;0
8;1;385154;01/04/2015;2;7;1005;1;0
8;1;385154;02/04/2015;3;28;1054;1;0
8;1;385172;06/02/2015;1;34;910;1;0
8;1;385172;01/04/2015;2;7;1007;1;0
8;1;385172;01/05/2015;3;12;1110,24;1;0
8;1;385172;01/04/2016;4;7;1216,93;1;0
8;1;385172;01/04/2017;5;7;1302,12;1;0
8;1;385172;01/04/2018;6;7;1354,2;1;0
4;1;385761;10/12/2015;1;34;1055;1;0
4;1;385761;01/04/2016;2;7;1160;1;0
4;1;385761;01/08/2016;3;30;1170;1;0
4;1;385761;01/12/2016;4;12;1208,64;1;0
4;1;385761;01/04/2017;5;7;1293,24;1;0
4;1;385761;01/04/2018;6;7;1344,97;1;0
4;1;385761;01/05/2018;7;2;1423,15;1;0
4;1;385761;01/04/2019;8;7;1489,61;1;0
4;1;385761;20/08/2019;9;2;1715,6;1;0
4;1;385761;01/04/2020;10;7;1757,64;1;0
4;1;385761;01/10/2020;11;12;1850;1;0
4;1;385761;01/04/2021;12;7;2000;1;0
4;1;385761;01/04/2022;13;7;2230;1;0
4;1;385761;01/12/2022;14;2;2340;1;0
4;1;385761;01/04/2023;15;7;2442;1;0
4;1;385761;01/04/2024;16;7;2525,02;1;0
4;1;385761;01/09/2024;17;9;2583,87;1;0
8;1;385788;01/07/2025;1;4;3000;1;0
282;1;385883;11/02/2016;1;34;1055;1;0
282;1;385883;01/04/2016;2;7;1160;1;0
282;1;385883;01/08/2016;3;30;1170;1;0
282;1;385883;01/02/2017;4;12;1208,64;1;0
282;1;385883;01/04/2017;5;7;1293,24;1;0
282;1;385883;01/04/2018;6;7;1344,97;1;0
282;1;385883;01/04/2019;7;7;1407,78;1;0
282;1;385883;01/04/2020;8;7;1442,27;1;0
282;1;385883;01/10/2020;9;12;1454,69;1;0
282;1;385883;01/04/2021;10;7;1555,65;1;0
282;1;385960;21/03/2016;1;34;1055;1;0
282;1;385960;01/04/2016;2;7;1160;1;0
282;1;385960;01/08/2016;3;30;1170;1;0
282;1;385960;01/03/2017;4;12;1208,64;1;0
282;1;385960;01/04/2017;5;7;1293,24;1;0
282;1;385960;01/04/2018;6;7;1319,11;1;0
282;1;385960;02/04/2018;7;2;1644,44;1;0
4;1;386218;01/08/2016;1;34;1550;1;0
4;1;386218;01/04/2017;2;7;1658,5;1;0
4;1;386218;01/04/2018;3;7;1691,67;1;0
4;1;386218;02/04/2018;4;2;1989;1;0
4;1;386218;01/04/2019;5;7;2081,88;1;0
4;1;386218;01/04/2020;6;7;2132,8;1;0
4;1;386218;01/10/2020;7;12;2200;1;0
1629;1;386417;14/11/2016;1;34;1400;1;0
4;1;387837;04/06/2018;1;34;1301,98;1;0
4;1;387837;01/06/2019;2;12;1344,97;1;0
4;1;387942;09/07/2018;1;34;1301,98;1;0
4;1;387942;01/07/2019;2;12;1344,97;1;0
4;1;388489;22/01/2019;1;34;1301,98;1;0
8;1;388557;06/03/2019;1;34;1286;1;0
8;1;388557;01/04/2019;2;7;1344;1;0
8;1;388562;06/03/2019;1;34;1286;1;0
8;1;388562;01/04/2019;2;7;1344;1;0
282;1;389215;05/10/2019;1;34;915,52;1;0
282;1;389215;01/10/2020;2;12;974,3;1;0
282;1;389215;03/11/2020;3;18;1478,39;1;0
282;1;389215;01/04/2021;4;12;1559,53;1;0
282;1;389215;01/06/2021;5;7;1613;1;0
8;1;389714;09/06/2020;1;34;1344;1;0
276;1;390016;05/10/2020;1;34;1100,4;1;0
276;1;390016;01/11/2020;2;7;1143,4;1;0
276;1;390016;10/04/2021;3;18;1518,53;1;0
276;1;390016;01/10/2021;4;12;1670,39;1;0
276;1;390016;01/11/2021;5;7;1768,4;1;0
276;1;390016;01/05/2022;6;7;1964,3;1;0
282;1;390051;19/10/2020;1;34;1389,76;1;0
282;1;390051;01/04/2021;2;7;1486,2;1;0
282;1;390051;01/10/2021;3;12;1559,53;1;0
282;1;390051;01/04/2022;4;7;1742,46;1;0
282;1;390051;01/04/2023;5;7;1829,58;1;0
4;1;390205;20/11/2020;1;34;1389,76;1;0
4;1;390205;01/04/2021;2;7;1486,2;1;0
4;1;390205;01/11/2021;3;12;1581,5;1;0
282;1;390597;27/04/2021;1;34;1486,2;1;0
282;1;390597;01/04/2022;2;12;1742,4;1;0
282;1;390597;01/10/2022;3;4;2113,67;1;0
4;1;390828;21/06/2021;1;34;1505,9;1;0
4;1;390828;01/11/2021;2;12;2000;1;0
4;1;390828;01/04/2022;3;7;2234,6;1;0
4;1;390828;01/04/2023;4;7;2346,35;1;0
4;1;390828;01/11/2023;5;2;2680;1;0
4;1;390828;01/04/2024;6;7;2814;1;0
282;1;391459;04/11/2021;1;34;1099,11;1;0
282;1;391459;01/03/2022;2;7;1209,01;1;0
282;1;391459;01/05/2022;3;8;1270;1;0
4;1;391785;06/01/2022;1;34;1505,9;1;0
4;1;391785;01/04/2022;2;7;1682,54;1;0
4;1;391785;04/07/2022;3;2;2116;1;0
4;1;391785;01/08/2022;4;2;2612;1;0
4;1;391785;12/09/2022;5;2;2700;1;0
4;1;391785;01/04/2023;6;7;2817,7;1;0
4;1;391785;01/04/2024;7;7;2913,5;1;0
282;1;391797;08/01/2022;1;34;1470;1;0
8;1;391954;14/02/2022;1;34;1505;1;0
8;1;391954;09/05/2022;2;12;1655,5;1;0
8;1;391954;01/09/2022;3;8;1684,5;1;0
8;1;391954;17/02/2023;4;12;1741;1;0
8;1;391954;01/04/2023;5;7;1828,5;1;0
282;1;392212;27/04/2022;1;34;1606;1;0
282;1;392212;01/03/2023;2;30;1710;1;0
282;1;392212;01/04/2023;3;12;1801,22;1;0
282;1;392212;01/03/2024;4;7;1891,28;1;0
282;1;392212;01/10/2024;5;12;1977,05;1;0
8;1;392628;19/07/2022;1;34;1546,8;1;0
8;1;392628;01/04/2023;2;7;1737,15;1;0
8;1;392922;10/10/2022;1;34;1655,5;1;0
8;1;392922;11/10/2022;2;23;1684,5;1;0
8;1;392922;01/04/2023;3;7;1769;1;0
4;1;393398;26/01/2023;1;34;5789;1;0
4;1;393398;01/04/2023;2;7;6041,4;1;0
4;1;393398;01/04/2024;3;7;6246,8;1;0
4;1;393398;01/04/2025;4;7;6571,65;1;0
282;1;393642;03/04/2023;1;34;3137,4;1;0
282;1;393642;01/04/2024;2;7;3244,1;1;0
4;1;397037;02/06/2025;1;34;2720,55;1;0
4;1;397037;01/08/2025;2;12;2726;1;0
