codigo_empresa;codigo_filial;razao_social;nome_filial;endereco_filial;complemento_endereco;numero_endereco;codigo_bairro;estado;codigo_cidade;codigo_ddi_telefone;codigo_ddd_telefone;numero_telefone;tipo_filial;tipo_inscricao;numero_inscricao;codigo_cei;inscricao_estadual;inscricao_municipal;cnae_fiscal;codigo_nac_atv_economica;inscricao_cno;inscricao_caepf;cnae_fiscal_preponderante;tipo_caepf;tipo_logradouro;codigo_cep_filial;nome_empresarial_completo
8;029;GRAZZIOTIN S/A;TOT - CHAPECO 029;RUA JOAO MARTINS;-D;681;4064;SC;4204202;55;0;;F;1;092012467002970;;;;4781400;5232;;;4781400;1;R;89803040;GRAZZIOTIN S A CHAPECO            
8;032;GRAZZIOTIN S/A;PRM - GUAPORE 032;JULIO CAMPOS;;01;3336;RS;4309407;55;0;;F;1;092012467003276;;;;4781400;5232;;;4781400;1;R;99200000;GRAZZIOTIN S A GUAPORE            
8;033;GRAZZIOTIN S/A;TOT - SANTO ANGELO 033;MARECHAL FLORIANO;SALA 01;1387;176;RS;4317509;55;0;;F;1;092012467003357;;;;4759899;5232;;;4759899;1;R;98801650;GRAZZIOTIN S A SANTO ANGELO       
8;034;GRAZZIOTIN S/A;GRZ - BAGE 034;SETE DE SETEMBRO;;879;256;RS;4301602;55;0;;F;1;092012467003438;;;;4781400;5232;;;4781400;1;AV;96400006;GRAZZIOTIN S A BAGE               
8;037;GRAZZIOTIN S/A;GRZ - SAO BORJA 037;GENERAL MARQUES;SALA 101;969;165;RS;4318002;55;0;;F;1;092012467003780;;;;4781400;5232;;;4781400;1;R;97670000;GRAZZIOTIN S A SAO BORJA          
8;038;GRAZZIOTIN S/A;TOT - BAGE 038;BENTO GONCALVES;D;361;256;RS;4301602;55;0;;F;1;092012467003861;;;;4759899;5232;;;4759899;1;R;96400201;GRAZZIOTIN S A BAGE               
8;039;GRAZZIOTIN S/A;TOT - SANTA MARIA 039;NOSSA SENHORA DAS DORES;;847;18;RS;4316907;55;0;;F;1;092012467003942;;;;4781400;5232;;;4781400;1;AV;97050530;GRAZZIOTIN S A SANTA MARIA        
8;040;GRAZZIOTIN S/A;PRM - PELOTAS 040;07 DE SETEMBRO;;263;330;RS;4314407;55;0;;F;1;092012467004086;;;;4781400;5232;;;4781400;1;R;96015300;GRAZZIOTIN S A PELOTAS            
8;041;GRAZZIOTIN S/A;GRZ - ESTEIO 041;PRESIDENTE VARGAS;sala 102;1698;189;RS;4307708;55;0;;F;1;092012467004167;;;;4781400;5232;;;4781400;1;AV;93260048;GRAZZIOTIN S A ESTEIO             
8;042;GRAZZIOTIN S/A;PRM - SANTANA DO LIVRAMENTO 042;VASCO ALVES;;923;147;RS;4317103;55;0;;F;1;092012467004248;;;;4781400;5232;;;4781400;1;R;97573550;GRAZZIOTIN S A LIVRAMENTO         
8;043;GRAZZIOTIN S/A;PRM - SANTO AUGUSTO 043;DO COMERCIO;;846;3457;RS;4317806;55;0;;F;1;092012467004329;;;;4781400;5232;;;4781400;1;AV;98590000;GRAZZIOTIN S A STO AUGUSTO        
8;044;GRAZZIOTIN S/A;GRZ - PASSO FUNDO 044;PRESIDENTE VARGAS;;20;2;RS;4314100;55;0;;F;1;092012467004400;;;;4781400;5232;;;4781400;1;AV;99070000;GRAZZIOTIN S A GRAZZIOTIN         
8;045;GRAZZIOTIN S/A;TOT - TAQUARA 045;RUA RIO BRANCO;;1213;3686;RS;4321204;55;0;;F;1;092012467004590;;;;4781400;5232;;;4781400;1;R;95600000;GRAZZIOTIN S A TAQUARA            
8;046;GRAZZIOTIN S/A;GRZ - RIO GRANDE 046;GENERAL BACELAR;;265;1090;RS;4315602;55;0;;F;1;092012467004671;;;;4781400;5232;;;4781400;1;R;96200370;GRAZZIOTIN S A RIO GRANDE         
8;047;GRAZZIOTIN S/A;GRZ - LAGES 047;CORREA PINTO;;180;491;SC;4209300;55;0;;F;1;092012467004752;;;;4781400;5232;;;4781400;1;R;88502200;GRAZZIOTIN S A LAGES              
8;048;GRAZZIOTIN S/A;TOT - IJUI 048;RUA;DE MAIO, 439;13;250;RS;4310207;55;0;;F;1;092012467004833;;;;4781400;5232;;;4781400;1;R;98700000;GRAZZIOTIN S A IJUI               
8;049;GRAZZIOTIN S/A;FRG - CAMPO MOURAO 049;AV MANOEL MENDES DE CAMARGO;;1555;3326;PR;4104303;55;0;;F;1;092012467004914;;;;4781400;5232;;;4781400;1;R;87303000;GRAZZIOTIN S A CAMPO MOURAO       
8;050;GRAZZIOTIN S/A;TOT - SANTA ROSA 050;JULIO RAUBER;;127;192;RS;4317202;55;0;;F;1;092012467005058;;;;4759899;5232;;;4759899;1;R;98780331;GRAZZIOTIN S A SANTA ROSA         
8;051;GRAZZIOTIN S/A;PRM - GIRUA 051;FRANCISCO LEOPOLDO UHRY;;230;2276;RS;4309001;55;0;;F;1;092012467005139;;;;4781400;5232;;;4781400;1;R;98870000;GRAZZIOTIN S A GIRUA              
8;052;GRAZZIOTIN S/A;GRZ - PATO BRANCO 052;TUPI;;2605;141;PR;4118501;55;0;;F;1;092012467005210;;;;4781400;5232;;;4781400;1;AV;85501268;GRAZZIOTIN S A PATO BRANCO        
8;053;GRAZZIOTIN S/A;PRM - PASSO FUNDO 053;PRESIDENTE VARGAS;;1959;10;RS;4314100;55;0;;F;1;092012467005309;;;;4781400;5232;;;4781400;1;AV;99070000;GRAZZIOTIN S A PASSO FUNDO        
8;054;GRAZZIOTIN S/A;PRM - IBIRUBA 054;AVENIDA SETE DE SETEMBRO;;1223;2936;RS;4310009;55;0;;F;1;092012467005481;;;;4781400;5232;;;4781400;1;R;98200000;GRAZZIOTIN S A IBIRUBA            
8;055;GRAZZIOTIN S/A;TOT - CRUZ ALTA 055;GENERAL CAMARA;;1100;135;RS;4306106;55;0;;F;1;092012467005562;;;;4759899;5232;;;4759899;1;AV;98005112;GRAZZIOTIN S A CRUZ ALTA          
8;056;GRAZZIOTIN S/A;TOT - LAJEADO 056;AV.SENADOR ALBERTO PASQUALINI;;1230;1123;RS;4311403;55;0;;F;1;092012467005643;;;;4781400;5232;;;4781400;1;R;95900000;GRAZZIOTIN S A LAJEADO            
8;057;GRAZZIOTIN S/A;TOT - CARAZINHO 057;POLIDORO ALBUQUERQUE;;55;63;RS;4304705;55;0;;F;1;092012467005724;;;;4759899;5232;;;4759899;1;R;99500000;GRAZZIOTIN S A CARAZINHO          
8;058;GRAZZIOTIN S/A;TOT - LAGES 058;MARECHAL FLORIANO;;373;491;SC;4209300;55;0;;F;1;092012467005805;;;;4759899;5232;;;4759899;1;AV;88501103;GRAZZIOTIN S A LAGES              
8;059;GRAZZIOTIN S/A;TOT - CACHOEIRA DO SUL 059;JULIO DE CASTILHOS;SALA 01;520;89;RS;4303004;55;0;;F;1;092012467005996;;;;4759899;5232;;;4759899;1;AV;96501000;GRAZZIOTIN S A CACHOEI. DO SUL    
8;061;GRAZZIOTIN S/A;GRZ - BENTO GONCALVES 061;MARECHAL DEODORO;;127;36;RS;4302105;55;0;;F;1;092012467006100;;;;4781400;5232;;;4781400;1;R;95700160;GRAZZIOTIN S A BENTO GONCALVES    
