codigo_empresa;tipo_colaborador;cadastro_colaborador;data_admissao;tipo_admissao;indicativo_admissao;tipo_inscricao;numero_inscricao_anterior;data_inicio_vinculo;matricula_trabalhador;cedido_onus;codigo_categoria_esocial;ressarcimento_onus;recebe_seguro
8;1;59323;13/07/1982;2;1;;;13/07/1982;59323;;1;N;1
8;1;59986;05/08/1982;2;1;;;05/08/1982;59986;;1;N;1
8;1;60160;02/08/1982;2;1;;;02/08/1982;60160;;1;N;1
8;1;61905;01/11/1982;2;1;;;01/11/1982;61905;;1;N;1
8;1;62227;16/11/1982;2;1;;;16/11/1982;62227;;1;N;1
8;1;65950;24/03/1983;2;1;;;24/03/1983;65950;;1;N;1
276;1;67563;14/06/1983;2;1;;;14/06/1983;67563;;1;N;1
8;1;69965;05/08/1983;2;1;;;05/08/1983;69965;;1;N;1
8;1;70734;17/09/1983;2;1;;;17/09/1983;70734;;1;N;1
8;1;71617;01/10/1983;2;1;;;01/10/1983;71617;;1;N;1
8;1;71749;14/10/1983;2;1;;;14/10/1983;71749;;1;N;1
8;1;71838;10/10/1983;2;1;;;10/10/1983;71838;;1;N;1
8;1;77630;26/12/1983;2;1;;;26/12/1983;77630;;1;N;1
8;1;79952;01/03/1984;2;1;;;01/03/1984;79952;;1;N;1
8;1;80000;05/01/1999;2;1;;;05/01/1999;80000;;1;N;1
8;1;80001;13/01/1999;2;1;;;13/01/1999;80001;;1;N;1
8;1;80002;11/01/1999;2;1;;;11/01/1999;80002;;1;N;1
8;1;80003;21/10/1998;2;1;;;21/10/1998;80003;;1;N;1
8;1;80004;01/10/1998;2;1;;;01/10/1998;80004;;1;N;1
8;1;80005;13/10/1998;2;1;;;13/10/1998;80005;;1;N;1
8;1;80006;21/10/1998;2;1;;;21/10/1998;80006;;1;N;1
8;1;80007;21/10/1998;2;1;;;21/10/1998;80007;;1;N;1
8;1;80008;02/10/1998;2;1;;;02/10/1998;80008;;1;N;1
8;1;80009;02/10/1998;2;1;;;02/10/1998;80009;;1;N;1
8;1;80010;23/10/1998;2;1;;;23/10/1998;80010;;1;N;1
8;1;80011;01/10/1998;2;1;;;01/10/1998;80011;;1;N;1
8;1;80012;01/03/1984;2;1;;;01/03/1984;80012;;1;N;1
8;1;80013;02/10/1998;2;1;;;02/10/1998;80013;;1;N;1
8;1;80014;15/10/1998;2;1;;;15/10/1998;80014;;1;N;1
8;1;80015;10/11/1998;2;1;;;10/11/1998;80015;;1;N;1
8;1;80016;19/10/1998;2;1;;;19/10/1998;80016;;1;N;1
8;1;80017;20/10/1998;2;1;;;20/10/1998;80017;;1;N;1
8;1;80018;02/01/1999;2;1;;;02/01/1999;80018;;1;N;1
8;1;80019;23/10/2000;2;1;;;23/10/2000;80019;;1;N;1
8;1;80020;03/11/1998;2;1;;;03/11/1998;80020;;1;N;1
8;1;80021;05/11/1998;2;1;;;05/11/1998;80021;;1;N;1
8;1;80022;12/12/1998;2;1;;;12/12/1998;80022;;1;N;1
4;1;80023;13/11/1998;2;1;;;13/11/1998;80023;;1;N;1
8;1;80024;03/11/1998;2;1;;;03/11/1998;80024;;1;N;1
8;1;80025;15/10/1998;2;1;;;15/10/1998;80025;;1;N;1
8;1;80026;23/11/1998;2;1;;;23/11/1998;80026;;1;N;1
8;1;80027;02/12/1998;2;1;;;02/12/1998;80027;;1;N;1
8;1;80028;06/11/1998;2;1;;;06/11/1998;80028;;1;N;1
8;1;80029;16/11/1998;2;1;;;16/11/1998;80029;;1;N;1
8;1;80030;21/12/1998;2;1;;;21/12/1998;80030;;1;N;1
8;1;80031;24/11/1998;2;1;;;24/11/1998;80031;;1;N;1
8;1;80032;16/11/1998;2;1;;;16/11/1998;80032;;1;N;1
8;1;80033;04/12/1998;2;1;;;04/12/1998;80033;;1;N;1
8;1;80034;01/12/1998;2;1;;;01/12/1998;80034;;1;N;1
8;1;80035;05/11/1998;2;1;;;05/11/1998;80035;;1;N;1
8;1;80036;23/12/1998;2;1;;;23/12/1998;80036;;1;N;1
8;1;80037;05/11/1998;2;1;;;05/11/1998;80037;;1;N;1
8;1;80038;06/11/1998;2;1;;;06/11/1998;80038;;1;N;1
8;1;80039;14/10/1998;2;1;;;14/10/1998;80039;;1;N;1
8;1;80040;01/12/1998;2;1;;;01/12/1998;80040;;1;N;1
8;1;80041;02/12/1998;2;1;;;02/12/1998;80041;;1;N;1
8;1;80042;01/12/1998;2;1;;;01/12/1998;80042;;1;N;1
8;1;80043;18/11/1998;2;1;;;18/11/1998;80043;;1;N;1
8;1;80044;18/11/1998;2;1;;;18/11/1998;80044;;1;N;1
8;1;80045;01/12/1998;2;1;;;01/12/1998;80045;;1;N;1
8;1;80046;03/11/1998;2;1;;;03/11/1998;80046;;1;N;1
8;1;80047;16/11/1998;2;1;;;16/11/1998;80047;;1;N;1
8;1;80048;03/11/1998;2;1;;;03/11/1998;80048;;1;N;1
8;1;80049;20/11/1998;2;1;;;20/11/1998;80049;;1;N;1
