codigo_empresa;codigo_filial;razao_social;nome_filial;endereco_filial;complemento_endereco;numero_endereco;codigo_bairro;estado;codigo_cidade;codigo_ddi_telefone;codigo_ddd_telefone;numero_telefone;tipo_filial;tipo_inscricao;numero_inscricao;codigo_cei;inscricao_estadual;inscricao_municipal;cnae_fiscal;codigo_nac_atv_economica;inscricao_cno;inscricao_caepf;cnae_fiscal_preponderante;tipo_caepf;tipo_logradouro;codigo_cep_filial;nome_empresarial_completo
008;020;;PRM FREDERICO WESTPHALEN;PIRACICABA;;;CENTRO;RS;48;;;;F;1;92012467002032;;;;47.81-4/00;5232;;;47.81-4/00;;R;98400000
008;021;;SAO GABRIEL;CORONEL SEZEFREDO;;801;CENTRO;RS;22;;;;F;1;92012467002113;;;;47.81-4/00;5232;;;47.81-4/00;;R;97300000
008;022;;GRZ CANOAS;QUINZE DE JANEIRO;loja 111;481;CENTRO;RS;62;;;;F;1;92012467002202;;;;47.81-4/00;5232;;;47.81-4/00;;R;92010300
008;023;;PRM SAO FRANCISCO DE ASSIS;SILVA JARDIM;;1499;CENTRO;RS;895;;;;F;1;92012467002385;;;;47.81-4/00;5232;;;47.81-4/00;;R;97610000
008;024;;PRM TRES PASSOS;BENTO GONCALVES;;411;CENTRO;RS;72;;;;F;1;92012467002466;;;;47.81-4/00;5232;;;47.81-4/00;;R;98600000
008;025;;GRZ SANTA MARIA;DO ACAMPAMENTO;;224;CENTRO;RS;2;;;;F;1;92012467002547;;;;47.81-4/00;5232;;;47.81-4/00;;R;97050000
008;027;;PASSO FUNDO;RUA BENTO GONCALVES;;708;CENTRO;RS;1;;;;F;1;92012467002709;;;;47.81-4/00;5232;;;47.81-4/00;;R;99010012
008;028;;PRM NOVA PRATA;BORGES DE MEDEIROS;;1100;CENTRO;RS;463;;;;F;1;92012467002890;;;;47.81-4/00;5232;;;47.81-4/00;;AV;95320000
008;029;;CHAPECO;RUA JOAO MARTINS;-D;681;INDUSTRIAL;SC;47;;;;F;1;92012467002970;;;;47.81-4/00;5232;;;47.81-4/00;;R;89803040
008;032;;PRM GUAPORE;JULIO CAMPOS;;01;CENTRO;RS;490;;;;F;1;92012467003276;;;;47.81-4/00;5232;;;47.81-4/00;;R;99200000
008;033;;TOT SANTO ANGELO;MARECHAL FLORIANO;SALA 01;1387;CENTRO;RS;3;;;;F;1;92012467003357;;;;47.59-8/99;5232;;;47.59-8/99;;R;98801650
008;034;;GRZ BAGE;SETE DE SETEMBRO;;879;CENTRO;RS;45;;;;F;1;92012467003438;;;;47.81-4/00;5232;;;47.81-4/00;;AV;96400006
008;037;;GRZ SAO BORJA;GENERAL MARQUES;SALA 101;969;CENTRO;RS;44;;;;F;1;92012467003780;;;;47.81-4/00;5232;;;47.81-4/00;;R;97670000
008;038;;TOT BAGE;BENTO GONCALVES;D;361;CENTRO;RS;45;;;;F;1;92012467003861;;;;47.59-8/99;5232;;;47.59-8/99;;R;96400201
008;039;;TOT SANTA MARIA;NOSSA SENHORA DAS DORES;;847;CENTRO;RS;2;;;;F;1;92012467003942;;;;47.81-4/00;5232;;;47.81-4/00;;AV;97050530
008;040;;PRM PELOTAS;07 DE SETEMBRO;;263;CENTRO;RS;61;;;;F;1;92012467004086;;;;47.81-4/00;5232;;;47.81-4/00;;R;96015300
008;041;;GRZ ESTEIO;PRESIDENTE VARGAS;sala 102;1698;CENTRO;RS;86;;;;F;1;92012467004167;;;;47.81-4/00;5232;;;47.81-4/00;;AV;93260048
008;042;;PRM SANTANA DO LIVRAMENTO;VASCO ALVES;;923;CENTRO;RS;53;;;;F;1;92012467004248;;;;47.81-4/00;5232;;;47.81-4/00;;R;97573550
008;043;;PRM SANTO AUGUSTO;DO COMERCIO;;846;CENTRO;RS;106;;;;F;1;92012467004329;;;;47.81-4/00;5232;;;47.81-4/00;;AV;98590000
008;044;;GRZ PASSO FUNDO;PRESIDENTE VARGAS;;20;CENTRO;RS;1;;;;F;1;92012467004400;;;;47.81-4/00;5232;;;47.81-4/00;;AV;99070000
008;045;;TAQUARA;RUA RIO BRANCO;;1213;CENTRO;RS;438;;;;F;1;92012467004590;;;;47.81-4/00;5232;;;47.81-4/00;;R;95600000
008;046;;GRZ RIO GRANDE;GENERAL BACELAR;;265;CENTRO;RS;76;;;;F;1;92012467004671;;;;47.81-4/00;5232;;;47.81-4/00;;R;96200370
008;047;;GRZ LAGES;CORREA PINTO;;180;CENTRO;SC;33;;;;F;1;92012467004752;;;;47.81-4/00;5232;;;47.81-4/00;;R;88502200
008;048;;IJUI;RUA;DE MAIO, 439;13;CENTRO;RS;10;;;;F;1;92012467004833;;;;47.81-4/00;5232;;;47.81-4/00;;R;98700000
008;049;;CAMPO MOURAO;AV MANOEL MENDES DE CAMARGO;;1555;CENTRO;PR;974;;;;F;1;92012467004914;;;;47.81-4/00;5232;;;47.81-4/00;;R;87303000
008;050;;TOT SANTA ROSA;JULIO RAUBER;;127;CENTRO;RS;59;;;;F;1;92012467005058;;;;47.59-8/99;5232;;;47.59-8/99;;R;98780331
008;051;;PRM GIRUA;FRANCISCO LEOPOLDO UHRY;;230;CENTRO;RS;437;;;;F;1;92012467005139;;;;47.81-4/00;5232;;;47.81-4/00;;R;98870000
008;052;;GRZ PATO BRANCO;TUPI;;2605;CENTRO;PR;73;;;;F;1;92012467005210;;;;47.81-4/00;5232;;;47.81-4/00;;AV;85501268
