codigo_estrutura_cargos;codigo_cargo;titulo_reduzido;titulo_completo;numero_cbo_2002;data_criacao;data_extincao;cnh_obrigatorio;OCLOBR;sigla_conselho_profissional
1;166;AUX.DE ESCRITORIO DIRETORES;AUX.DE ESCRITORIO DIRETORES;4110-05;;;N;N;
1;167;AUX.ESCRITORIO DIRETORES III;AUX.ESCRITORIO DIRETORES III;4110-05;;;N;N;
1;169;ENCARREGADO DE ICMS;ENCARREGADO DE ICMS;3511-10;;;N;N;
1;170;AUXILIAR ESCRITORIO III;AUXILIAR ESCRITORIO III;4110-05;;;N;N;
1;171;AUXILIAR DE ESCRITORIO IV;AUXILIAR DE ESCRITORIO IV;4110-05;;;N;N;
1;172;AUXILIAR DE ESCRITORIO V;AUXILIAR DE ESCRITORIO V;4110-05;;;N;N;
1;174;OPERADOR DE EMPILHADEIRA II;OPERADOR DE EMPILHADEIRA II;7822-20;;;N;N;
1;175;AUX. DISTRIBUICAO TEMPORARIO;AUX. DISTRIBUICAO TEMPORARIO;7832-10;;;N;N;
1;177;AUXILIAR DE PESSOAL IV;AUXILIAR DE PESSOAL IV;4110-30;;;N;N;
1;178;AUXILIAR DE ESCRITORIO;AUXILIAR DE ESCRITORIO;4110-05;;;N;N;
1;179;CIEE AUX. DISTRIBUICAO;CIEE AUX. DISTRIBUICAO;7832-10;;;N;N;
1;180;AUXILIAR DE ALMOXARIFADO II;AUXILIAR DE ALMOXARIFADO II;4141-05;;;N;N;
1;183;CIE-E AUXILIAR DE ESCRITORIO;CIE-E AUXILIAR DE ESCRITORIO;4110-05;;;N;N;
1;185;GERENTE LOJA FRANCO B;GERENTE LOJA FRANCO B;1414-15;;;N;N;
1;186;GERENTE LOJA FRANCO C;GERENTE LOJA FRANCO C;1414-15;;;N;N;
1;188;GERENTE LOJA TOTTAL A;GERENTE LOJA TOTTAL A;1414-15;;;N;N;
1;189;GERENTE LOJA TOTTAL B;GERENTE LOJA TOTTAL B;1414-15;;;N;N;
1;190;GERENTE LOJA TOTTAL C;GERENTE LOJA TOTTAL C;1414-15;;;N;N;
1;191;GERENTE LOJA TOTTAL D;GERENTE LOJA TOTTAL D;1414-15;;;N;N;
1;192;GERENTE LOJA TOTTAL E;GERENTE LOJA TOTTAL E;1414-15;;;N;N;
1;195;GERENTE VIA RAQUELE C;GERENTE VIA RAQUELE C;1414-15;;;N;N;
1;196;GERENTE DE LOJA TECH BOX;GERENTE DE LOJA TECH BOX;1414-15;;;N;N;
1;197;SUB-GERENTE LOJA;SUB-GERENTE LOJA;4101-05;;;N;N;
1;198;CAIXA  (POR MENOS);CAIXA  (POR MENOS);4211-25;;;N;N;
1;199;APRENDIZ DE CAIXA TOTTAL;APRENDIZ DE CAIXA TOTTAL;4211-25;;;N;N;
1;200;AUX.LOJA TEMP. CAIXA TOT;AUX.LOJA TEMP. CAIXA TOT;4211-25;;;N;N;
1;201;CAIXA(VIA RAQUELE);CAIXA(VIA RAQUELE);4211-25;;;N;N;
1;202;APRENDIZ DE AUX.VENDAS TOTTA;APRENDIZ DE AUX.VENDAS TOTTA;5211-10;;;N;N;
1;203;CIE-E DE AUX.VENDAS TOTTAL;CIE-E DE AUX.VENDAS TOTTAL;5211-10;;;N;N;
