codigo_estrutura_cargos;codigo_cargo;titulo_reduzido;titulo_completo;numero_cbo_2002;data_criacao;data_extincao;cnh_obrigatorio;OCLOBR;sigla_conselho_profissional
1;331;ANAL. DE RECRUTAMENTO E SELEÇÃ;ANALISTA DE RECRUTAMENTO E SELEÇÃO;2524-05;;;N;N;
1;228;CIE-E DE VENDEDOR TB.;CIE-E DE VENDEDOR TB.;5211-10;;;N;N;
1;128;GERENTE ADMINISTRATIVO;GERENTE ADMINISTRATIVO;1421-05;;;N;N;
1;50;CONFERENTE;CONFERENTE;4142-15;;;N;N;
1;58;AUXILIAR DE ESCRITORIO;AUXILIAR DE ESCRITORIO;4110-05;;;N;N;
1;293;CASEIRO;CASEIRO;6220-05;;;N;N;
1;316;SUPERVISOR FINANCEIRO;SUPERVISOR FINANCEIRO;4102-25;;;N;N;
1;284;DESIGNER DE MODA;DESIGNER DE MODA;2624-25;;;N;N;
1;333;PROGRAMADOR - DESENVOLVEDOR BA;PROGRAMADOR - DESENVOLVEDOR BACKEND;3171-10;;;N;N;
1;338;AUXILIAR DE DESIGN GRAFICO;AUXILIAR DE DESIGN GRAFICO;2624-10;;;N;N;
1;335;CHEFE DE SEÇÃO - INVENTÁRIO;CHEFE DE SEÇÃO - INVENTÁRIO;4101-05;;;N;N;
1;336;ASSISTENTE DE E-COMMERCE;ASSISTENTE DE E-COMMERCE;4110-10;;;N;N;
1;337;AUXILIAR DE E-COMMERCE;AUXILIAR DE E-COMMERCE;4110-05;;;N;N;
1;339;AUXILIAR DE SISTEMAS;AUXILIAR DE SISTEMAS;2124-05;;;N;N;
1;341;SUPERVISOR CONTABIL/FISCAL;SUPERVISOR CONTABIL/FISCAL;2522-10;;;N;N;
1;340;AUXILIAR DE SISTEMAS TRAINEE;AUXILIAR DE SISTEMAS TRAINEE;2124-05;;;N;N;
1;342;ANALISTA DE REDES TRAINEE;ANALISTA DE REDES TRAINEE;2124-10;;;N;N;
1;343;LIDER LOGISTICA;LIDER LOGISTICA;4101-05;;;N;N;
1;344;SUPERVISORA DE E-COMMERCE;SUPERVISORA DE E-COMMERCE;1423-15;;;N;N;
1;345;GERENTE DE E-COMMERCE;GERENTE DE E-COMMERCE;1423-15;;;N;N;
1;346;ASSIST. DE MARKETING - INSTITU;ASSISTENTE DE MARKETING - INSTITUCIONAL;4110-10;;;N;N;
1;347;ASSIST. DE MARKETING - REDES;ASSISTENTE DE MARKETING - REDES;4110-10;;;N;N;
1;348;GERENTE DE NEGOCIOS;GERENTE DE NEGOCIOS;1421-15;;;N;N;
1;349;OPERADOR DE NEGÓCIOS - FINANCE;OPERADOR DE NEGÓCIOS - FINANCEIRA;2532-25;;;N;N;
1;20;ANALISTA DE SISTEMAS TRAINEE;ANALISTA DE SISTEMAS TRAINEE;2124-05;;;N;N;
1;350;AUX. DE INSPEÇÃO DE QUALIDADE;AUXILIAR DE INSPEÇÃO DE QUALIDADE;3912-15;;;N;N;
1;351;ANAL. DE DESENVOLVIMENTO HUMAN;ANALISTA DE DESENVOLVIMENTO HUMANO;2524-05;;;N;N;
1;352;AUX. DE ESCRITORIO TEMPORARIO;AUXILIAR DE ESCRITORIO TEMPORARIO;4110-05;;;N;N;
1;353;ASSIST. DE COBRANCA - CENTRAL;ASSISTENTE DE COBRANCA - CENTRAL DE COBRANCA;4213-10;;;N;N;
1;354;ANALISTA DE COBRANÇA;ANALISTA DE COBRANÇA;4213-10;;;N;N;
1;355;GERENTE DE PRODUÇÃO;GERENTE DE PRODUÇÃO;1412-05;;;N;N;
1;356;SUPERVISOR DE PRODUÇÃO;SUPERVISOR DE PRODUÇÃO;1412-05;;;N;N;
1;359;ANALISTA DE SUPORTE TI;ANALISTA DE SUPORTE TI;2124-20;;;N;N;
1;357;ASSIST. DE CREDITO E COBRANCA;ASSISTENTE DE CREDITO E COBRANCA;4213-10;;;N;N;
1;358;ANALISTA DE COBRANÇA;ANALISTA DE COBRANÇA;4213-10;;;N;N;
1;360;ASSISTENTE DE CREDITO;ASSISTENTE DE CREDITO;4213-10;;;N;N;
1;361;ANALISTA DE RECURSOS HUMANOS;ANALISTA DE RECURSOS HUMANOS;2524-05;;;N;N;
1;362;SERVENTE ( FLORESTA );SERVENTE ( FLORESTA );5143-20;;;N;N;
1;363;ANALISTA DE MIDIAS SOCIAIS;ANALISTA DE MIDIAS SOCIAIS;2534-05;;;N;N;
1;364;AUXILIAR DE COBRANÇA - CENTRAL;AUXILIAR DE COBRANÇA - CENTRAL;4213-10;;;N;N;
1;365;AUXILIAR DE ATENDIMENTO;AUXILIAR DE ATENDIMENTO;4213-10;;;N;N;
1;366;ASSIST. FIN. - CONTAS A RECEBE;ASSISTENTE FINANCEIRO - CONTAS A RECEBER;4131-10;;;N;N;
1;292;SUPERVISOR OPERACIONAL - OBRAS;SUPERVISOR OPERACIONAL - OBRAS;1421-05;;;N;N;
1;367;AUXILIAR DE INVENTARIO;AUXILIAR DE INVENTARIO;4141-40;;;N;N;
1;368;AUXILIAR DE COBRANÇA;AUXILIAR DE COBRANÇA;4213-10;;;N;N;
1;369;AUXILIAR DE CRÉDITO;AUXILIAR DE CRÉDITO;4213-10;;;N;N;
1;370;AUXILIAR DE CRÉDITO E COBRANÇA;AUXILIAR DE CRÉDITO E COBRANÇA;4213-10;;;N;N;
1;371;SUPERVISOR TI - INFRA, SEG., S;SUPERVISOR TI - INFRA, SEG., SIST. TERC., SUPORTE;4121-20;;;N;N;
1;372;CHEFE ADMINISTRATIVO CS;CHEFE ADMINISTRATIVO CS;4101-05;;;N;N;
1;373;GERENTE FIN. - CONTAS A PAGAR;GERENTE FINANCEIRO - CONTAS A PAGAR;1421-05;;;N;N;
1;374;GERENTE FIN. - CONTAS A RECEBE;GERENTE FINANCEIRO - CONTAS A RECEBER;1421-05;;;N;N;
1;375;ANALISTA DE REQUISITOS JÚNIOR;ANALISTA DE REQUISITOS JÚNIOR;2124-05;;;N;N;
1;377;ANALISTA DE REQUISITOS SÊNIOR;ANALISTA DE REQUISITOS SÊNIOR;2124-05;;;N;N;
1;378;ASSIST. DE SERVICE DESK JÚNIOR;ASSISTENTE DE SERVICE DESK JÚNIOR;3172-10;;;N;N;
1;379;ASSIST. DE SERVICE DESK PLENO;ASSISTENTE DE SERVICE DESK PLENO;3172-10;;;N;N;
1;380;ASSIST. DE SERVICE DESK SÊNIOR;ASSISTENTE DE SERVICE DESK SÊNIOR;3172-10;;;N;N;
1;381;COMPRADOR EXPANSÃO;COMPRADOR EXPANSÃO;3542-05;;;N;N;
1;382;DESENVOLVEDOR FULL STACK JÚNIO;DESENVOLVEDOR FULL STACK JÚNIOR;3171-10;;;N;N;
1;383;ANALISTA CONTABIL E FISCAL;ANALISTA CONTABIL E FISCAL;2522-10;;;N;N;
1;384;LÍDER TECH PLENO;LÍDER TECH PLENO;2124-05;;;N;N;
1;385;LÍDER TECH SÊNIOR;LÍDER TECH SÊNIOR;2124-05;;;N;N;
1;386;ANAL. DE INFRAESTRUTURA JÚNIOR;ANALISTA DE INFRAESTRUTURA JÚNIOR;2124-05;;;N;N;
1;387;ASSIST. FIN. CONTAS A PAGAR;ASSISTENTE FINANCEIRO CONTAS A PAGAR;4131-10;;;N;N;
1;388;DESENVOLVEDOR FULL STACK PLENO;DESENVOLVEDOR FULL STACK PLENO;3171-10;;;N;N;
1;389;DESENVOLVEDOR FULL STACK SÊNIO;DESENVOLVEDOR FULL STACK SÊNIOR;3171-10;;;N;N;
1;390;SUPERVISOR ADMINISTRATIVO;SUPERVISOR ADMINISTRATIVO;4101-05;;;N;N;
1;391;SUPERVISOR ADMINISTRATIVO;SUPERVISOR ADMINISTRATIVO;4101-05;;;N;N;
1;392;AGENTE ADMINISTRATIVO;AGENTE ADMINISTRATIVO;4110-10;;;N;N;
1;393;AUXILIAR DE HELP DESK JÚNIOR;AUXILIAR DE HELP DESK JÚNIOR;3172-10;;;N;N;
1;394;AUXILIAR DE HELP DESK PLENO;AUXILIAR DE HELP DESK PLENO;3172-10;;;N;N;
1;395;AUXILIAR DE HELP DESK SÊNIOR;AUXILIAR DE HELP DESK SÊNIOR;3172-10;;;N;N;
1;396;ASSIST. DE INFRAESTRURA JÚNIOR;ASSISTENTE DE INFRAESTRURA JÚNIOR;2123-20;;;N;N;
1;397;ASSIST. DE INFRAESTRUTURA PLEN;ASSISTENTE DE INFRAESTRUTURA PLENO;2123-20;;;N;N;
1;404;ANAL. DE INFRAESTRUTURA JUNIOR;ANALISTA DE INFRAESTRUTURA JUNIOR;2124-10;;;N;N;
1;405;ANAL. DE INFRAESTRUTURA PLENO;ANALISTA DE INFRAESTRUTURA PLENO;2124-10;;;N;N;
1;406;ANAL. DE INFRAESTRUTURA SÊNIOR;ANALISTA DE INFRAESTRUTURA SÊNIOR;2124-10;;;N;N;
1;409;APRENDIZ;APRENDIZ;5211-25;;;N;N;
1;412;ASSIST. DE MARKETING - FINANCE;ASSISTENTE DE MARKETING - FINANCEIRA;4110-10;;;N;N;
1;410;SUPERVISOR DE TECNOLOGIA DA IN;SUPERVISOR DE TECNOLOGIA DA INFORMAÇÃO;2124-05;;;N;N;
1;418;ANALISTA DE DADOS JUNIOR;ANALISTA DE DADOS JUNIOR;2124-20;;;N;N;
1;419;ANALISTA DE DADOS PLENO;ANALISTA DE DADOS PLENO;2124-20;;;N;N;
1;420;ANALISTA DE DADOS SENIOR;ANALISTA DE DADOS SENIOR;2124-20;;;N;N;
1;423;OPERADOR DE MAQUINAS;OPERADOR DE MAQUINAS;7821-15;;;N;N;
1;1;DIRETOR;DIRETOR;1233-05;;;N;N;
1;411;CARGO GENÉRICO - PARA TESTES;CARGO GENÉRICO - PARA TESTES;3951-05;;;N;N;
1;416;ASSISTENTE JURIDICO;ASSISTENTE JURIDICO;2410-05;;;N;N;
1;417;AUXILIAR JURIDICO;AUXILIAR JURIDICO;3514-30;;;N;N;
1;422;GERENTE DE DADOS;GERENTE DE DADOS;2123-05;;;N;N;
1;376;ANALISTA DE REQUISITOS PLENO;ANALISTA DE REQUISITOS PLENO;2124-05;;;N;N;
1;437;GERENTE DE TI E PROCESSOS;GERENTE DE TI E PROCESSOS;1425-30;;;N;N;
1;400;ANALISTA ESTATÍSTICO;ANALISTA ESTATÍSTICO;2112-05;;;N;N;
1;426;ASSISTENTE FISCAL;ASSISTENTE FISCAL;2522-10;;;N;N;
1;7;GERENTE COMERCIAL;GERENTE COMERCIAL;1423-05;;;N;N;
1;427;ANAL. DE COMUNICAÇÃO INTERNA;ANALISTA DE COMUNICAÇÃO INTERNA;1423-35;;;N;N;
1;428;ASSIST. DE COMUNICAÇÃO INTERNA;ASSISTENTE DE COMUNICAÇÃO INTERNA;1423-35;;;N;N;
1;401;AUXILIAR DE IMPORTAÇÃO;AUXILIAR DE IMPORTAÇÃO;4110-45;;;N;N;
1;184;GERENTE LOJA FRANCO A;GERENTE LOJA FRANCO A;1414-15;;;N;N;
1;424;ANALISTA FISCAL;ANALISTA FISCAL;2522-10;;;N;N;
1;438;AUX. DE SERVIÇOS GERAIS MUNDIA;AUXILIAR DE SERVIÇOS GERAIS MUNDIART;5143-25;;;N;N;
1;439;AUX. DE VENDAS TRAINEE MUNDIAR;AUXILIAR DE VENDAS TRAINEE MUNDIART;3541-25;;;N;N;
1;440;ASSIST. DE VENDAS TRAINEE MUND;ASSISTENTE DE VENDAS TRAINEE MUNDIART;3541-25;;;N;N;
1;432;ANALISTA DE DADOS TRAINEE;ANALISTA DE DADOS TRAINEE;2124-20;;;N;N;
1;435;GERENTE DE DADOS MODELAGEM PER;GERENTE DE DADOS MODELAGEM PERFORMANCE DE NEGOCIO;1423-30;;;N;N;
1;173;OPERADOR EMPILHADEIRA;OPERADOR EMPILHADEIRA;7822-20;;;N;N;
1;403;GERENTE DE RELAÇOES INSTITUCIO;GERENTE DE RELAÇOES INSTITUCIONAIS;1423-10;;;N;N;
1;421;ANAL. DE SISTEMAS E PROCESSOS;ANALISTA DE SISTEMAS E PROCESSOS LOGISTICOS;2527-15;;;N;N;
1;415;ANALISTA DE VENDAS;ANALISTA DE VENDAS;1423-30;;;N;N;
1;433;CHEFE DE SEÇÃO CONTROLE DE QUA;CHEFE DE SEÇÃO CONTROLE DE QUALIDADE;4101-05;;;N;N;
1;434;ANAL. DE PERFORMANCE DE ESTOQU;ANALISTA DE PERFORMANCE DE ESTOQUE - ONEBEAT;2527-25;;;N;N;
1;436;GERENTE CONTABIL E DE OPERAÇÕE;GERENTE CONTABIL E DE OPERAÇÕES;1421-15;;;N;N;
1;398;ASSIST. DE INFRAESTRUTURA SÊNI;ASSISTENTE DE INFRAESTRUTURA SÊNIOR;2123-20;;;N;N;
1;407;GERENTE COMERCIAL FACÇÃO;GERENTE COMERCIAL FACÇÃO;1423-05;;;N;N;
1;408;GERENTE COMERCIAL IMPORTAÇÃO;GERENTE COMERCIAL IMPORTAÇÃO;1423-05;;;N;N;
1;413;GERENTE JURIDICA;GERENTE JURIDICA;2410-40;;;N;N;
1;414;GERENTE JURÍDICA;GERENTE JURÍDICA;2410-40;;;N;N;
1;399;GERENTE DE LOGISTICA;GERENTE DE LOGISTICA;1416-15;;;N;N;
1;402;GERENTE CONTÁBIL;GERENTE CONTÁBIL;2522-10;;;N;N;
1;425;ASSISTENTE FISCAL;ASSISTENTE FISCAL;2522-10;;;N;N;
1;429;ANAL. FIN. CONTAS A PAGAR;ANALISTA FINANCEIRO CONTAS A PAGAR;2525-45;;;N;N;
1;430;CHEFE DE SEÇÃO - CONTROLE DE Q;CHEFE DE SEÇÃO - CONTROLE DE QUALIDADE;3912-05;;;N;N;
1;431;GERENTE DE COBRANÇA;GERENTE DE COBRANÇA;4201-10;;;N;N;
