1;1;VILA FATIMA;
1;2;CENTRO;
1;3;CRUZEIRO;
1;4;SANTO ANTONIO;
1;5;PETROPOLIS;
1;6;VERGUEIRO;
1;7;VILA RICCI;
1;8;LUCAS ARAUJO;
1;9;VILA LUIZA;
1;10;SÃO CRISTÓVÃO;
1;11;PLANALTINA;
1;12;VERA CRUZ;
1;13;SECCHI;
1;14;SANTA MARIA;
1;15;SAO LUIZ;
1;16;SAO JOAO;
1;17;VICTOR ISLER;
2;18;CENTRO;
1;19;ANNES;
12;20;SAO GERALDO;
1;21;CEZAR SANTOS;
1;22;BOQUEIRÃO;
1;23;RICCI;
1;24;IVO FERREIRA;
1;25;CESAR SANTOS;
1;27;FATIMA;
1;28;SAO CRISTIVAO;
30;29;OFICINAS;
1;30;VILA NOVA;
33;31;PASSO FUNDO;
1;32;LOT PLANALTINA 3;
1;33;SÃO CRISTÓVÃO II;
1;34;NENE GRAEFF;
1;35;SÃO JOSÉ;
38;36;CENTRO;
20;37;INTERIOR;
1;38;RODRIGUÊS;
1;39;S. CRISTOV@O;
3;40;COHAB;
39;41;BARCELOS;
40;42;VILA LIZABEL;
41;43;/;
42;44;CENTRO;
43;45;COHAB;
2;46;VILA PRADO;
44;47;V.AP.SAMPAIO;
2;48;COHAB;
44;49;PASSO;
10;50;PENHA;
1;51;S.CRISTOVAO;
27;52;CENTRO;
45;53;GET. VARGAS;
1;54;LOT. DOM RODOLFO;
46;55;SANTA GRUZ;
47;56;SANTA MARIA;
48;57;STO.INACIO;
49;58;LASALLE;
40;59;V.DIRCEU;
27;60;RIO BRANCO;
31;61;VILA RICA;
50;62;CENTRO;
31;63;CENTRO;
45;65;GETULIO VARGAS;
52;66;SINUELO SCHARLA;
1;67;S. CRISTOVAO;
53;68;KENNEDY;
2;69;ROLIN;
54;70;CENTRO;
1;72;DONA ELISA;
40;73;FERROVIARIO;
10;75;PINDORAMA;
33;76;SAO CRISTOVAO;
57;77;VILA ASSUNCAO;
45;78;SANTA TECLA;
10;79;ASSIS BRASIL;
3;80;EMILIA;
58;81;BARREIROS;
40;82;BOA PARADA;
59;83;KERBER;
1;84;VILA ANNES;
60;85;BRANQUINHA;
61;86;BAIRRO CENTRO;
62;87;GUAJUVIRAS;
38;88;UMAITA;
39;89;CENTRO;
39;90;SANTA HELENA;
45;91;SAO BERNARDO;
10;92;MODELO;
38;93;LOT.D.ISABEL;
27;94;JARDIM FLORESTA;
44;95;TIRO;
58;96;SERRARIA;
3;97;ROZA;
62;98;CHACARA BARRETO;
44;99;RODOVIARIA;
1;100;MAGGI CESARO;
63;101;BELA VISTA;
63;102;S.CRISTOVAO;
31;103;ORIENTAL;
2;104;DORES;
64;105;CENTRO;
1;106;S.LUIZ GONZAGA;
2;107;PATRONATO;
1;108;S.CRISTOAO;
65;109;DOS ESPORTES;
64;110;PIONEIRA;
10;111;TOME SOUZA;
2;112;CAMOBI;
66;113;ITU;
1;114;VITOR ISLLER;
1;115;VILA OPERARIA;
58;116;KOBRASOL;
52;117;CENTRO;
27;118;RUBEM BERTA;
1;119;VL LUIZA;
10;120;OSVALDO ARANHA;
38;121;BAIRRO PROGRESSO;
63;122;CERAMICA;
3;123;IPE AMARELO;
2;124;VILA NOVA;
1;125;SANTA MARTA;
9;126;CENTRO;
40;128;VILA ROCHA;
1;129;SÇO CRISTOVÇO;
6;130;CENTRO;
69;132;GUARANI;
70;133;BOA VISTA;
71;134;CENTRO;
40;135;CENTRO;
3;136;JARD DAS PALMEI;
3;137;DORNELLES;
40;138;CRUZ ALTA;
54;139;GLORIA;
72;140;OPERARIO;
73;141;CENTRO;
