codigo_banco,codigo_agencia,nome_agencia,estado,codigo_cidade,digito_agencia
1;16;BCO.BRASIL AG 0016-7 - FLORIAN;RS;431410;7
1;29;GUARAPUAVA;RS;431410;9
1;30;BCO.BRASIL AG 30-2 - PONTA GRO;RS;431410;2
1;34;BAGE;RS;431410;5
1;35;LIVRAMENTO;RS;431410;3
1;38;BANCO BRASIL-AG 0038-8 JOINVIL;RS;431410;8
1;42;CACHOEIRA DO SU;RS;431410;6
1;45;URUGUAIANA;RS;431410;0
1;48;FARROUPILHA;RS;431410;6
1;84;RIO GRANDE;RS;431410;1
1;89;CAXIAS DO SUL;RS;431410;2
1;92;PASSO FUNDO;RS;431410;2
1;126;SANTA MARIA;RS;431410;0
1;132;ERECHIM;RS;431410;5
1;138;SANTO ANGELO;RS;431410;4
1;139;LAJEADO;RS;431410;2
1;144;ALEGRETE;RS;431410;9
1;147;JAGUARAO;RS;431410;3
1;153;SAO GABRIEL;RS;431410;8
1;169;BCO.BRASIL AG 169-4- QUARAI;RS;431410;4
1;170;VACARIA;RS;431410;8
1;180;SANTA CRUZ;RS;431410;5
1;181;BENTO GONCALVES;RS;431410;3
1;182;BCO.BRASIL AG 182-1 - IRATI;RS;431410;1
1;185;SAO LEOPOLDO;RS;431410;6
1;187;SAO BORJA;RS;431410;2
1;192;CAMAQUA;RS;431410;9
1;193;BCO.BRASIL AG 193-7 - CRUZ ALT;RS;431410;7
1;195;DOM PEDRITO;RS;431410;3
1;201;TUBARAO;RS;431410;1
1;206;MAFRA;RS;431410;2
1;217;BCO.BRASIL AG 217-8 - UNIÃO DA;RS;431410;8
1;235;BCO.BRASIL AG 0235-6 - STA.VIT;RS;431410;6
1;237;BANCO SICREDI - AG 237 FREDERI;RS;431410;
1;263;BCO.BRASIL AG 263-1 TAPES;RS;431410;1
1;271;ITAQUI;RS;431410;2
1;299;BCO.BRASIL AG 299-2 - GUARAPUA;RS;431410;2
1;304;RIO PARDO;RS;431410;2
1;305;ITAJAI;RS;431410;0
1;307;LAGES;RS;431410;7
