CODIGO;NOME;SIGLA;NUMERO_CNPJ;MES_DATA_BASE;CODIGO_ENTIDADE;ENDERECO;NUMERO_ENDERECO;COMPLEMENTO_ENDERECO;CODIGO_CIDADE;CODIGO_CEP;ENTIDADE_SINDICAL_ALFA
40;SIND.EMP.COM.SAO LUIZ GONZAGA (PORTO XAVIER,BOSSOROCA,STO A);AJUSTAR;91553362000165;3;5179043510;RUA BORGES DE MEDEIROS;2524;;4318903;97800000;
41;SIND. EMP. COM. SAO GABRIEL;AJUSTAR;89498356000100;3;5814875905;RUA JUCA TIGRE;2150;;4318309;97300000;
42;SIND. EMP. COM. TUBARAO ( LAURO MÜLLER);AJUSTAR;86448032000170;11;5164130676;RUA LAURO MULLER;80;;4218707;88700000;
43;SIND. EMP. COM. SANTA CRUZ DO SUL;AJUSTAR;95438800000103;3;5179875869;RUA CAPITAO FERNANDO TATCH;424;;4316808;96810342;
44;SIND. EMP. COM. CASCAVEL;AJUSTAR;78105319000179;6;5158019360;RUA VISCONDE DE GUARAPUAVA;1637;;4104808;85801160;
46;SIND. EMP. COM. CACADOR;AJUSTAR;83083576000197;11;5164011790;RUA DR. MOACIR SAMPAIO;235;;4203006;89500000;
47;SIND. EMP. COM. SAO MIGUEL DO OESTE ( MARAVILHA);AJUSTAR;78472032000187;5;5164018833;SANTOS DUMONT;235;;4217204;89900000;
48;SIND. EMP. COM. JOACABA (CAMPOS NOVOS);AJUSTAR;84590934000110;1;5164130692;RUA FREI ROGERIO;525;;4209003;89600000;
49;SIND. EMP. COM. CRICIUMA ( SIDEROPOLIS );AJUSTAR;83662924000180;5;5164130625;AVENIDA GETULIO VARGAS;485;;4204608;88800000;
50;SIND. EMP. COM. FOZ DO IGUACU(MATELÂNDIA);AJUSTAR;75423723000100;6;0;RUA TIRADENTES;353;;4108304;85891000;
51;SIND. EMP. COM. MONTENEGRO;AJUSTAR;90896507000168;3;5179875796;APOLINARIO DE MORAES;950;;4312401;95780000;
52;SIND. EMP. COM. URUGUAIANA;AJUSTAR;98417462000103;11;579893255;RUA VENANCIO AIRES;2179;;4322400;97500000;
53;SIND. EMP. COM. CANOAS;AJUSTAR;90811605000155;11;30005814012893;RUA ALBERTO TORRES;224;;4304606;92000000;
54;SIND. EMP. COM. LAGOA VERMELHA( IBIRAIARAS);AJUSTAR;87682738000164;3;5179042409;SETE DE SETEMBRO;895;;4311304;95300000;
55;SIND. EMP. COM. CANOINHAS/ ITAIOPOLIS;AJUSTAR;83785733000106;5;914565164130689;RUA RUI BARBOSA;393;;4203808;89460000;
56;SIND. EMP. COM. ITAJAI;AJUSTAR;84307370000166;8;5164130633;RUA SAMUEL HENSI;320;;4208203;88301070;
57;SIND.EMP.COM.LAJEADO (ARROIO DO MEIO,ESTRELA);AJUSTAR;88666102000191;3;5179875788;RUA BENTO GONCALVES;450;SALA 201;4311403;95900000;
58;SIND. EMP. COM. CAMAQUA;AJUSTAR;90152422000175;3;5179042425;CRISTOVAO G. DE ANDRADE;791;;4303509;96180000;
59;SIND. EMP. COM. DOM PEDRITO;AJUSTAR;89424808000100;6;5179019288;MOREIRA CESAR;1953;;4306601;96450000;
60;SIND. EMP. COM. BLUMENAU;AJUSTAR;82666025000193;11;5164893777;JOHN F KENNEDY;91;;4202404;89010000;
61;SIND. EMP. COM. GUAIBA;AJUSTAR;93205029000190;3;5179898150;RUA GUAIBA;10;;4309308;92500000;
62;SIND. EMP. COM. CACAPAVA DO SUL;AJUSTAR;87083820000172;3;5179019180;RUA CORONEL ROMAO;674;;4302808;96570000;
63;SIND.EMP.COM.JAGUARAO;AJUSTAR;90962382000127;8;5179875770;RUA JULIO DE CASTILHOS;395;;4311007;96300000;
64;SIND. EMP. COM. FLORIANOPOLIS;AJUSTAR;83930305000120;9;5164130595;RUA GERONIMO COELHO;345;;4205407;88000000;
65;SIND. EMP. COM. CURITIBA;AJUSTAR;76586346000185;5;5158035403;RUA XV DE NOVEMBRO;1040;;4106902;80000000;
