ESTCAR;CODCAR;TITRED;TITCAR;CODCB2;DATCRI;DATEXT;CNHOBR;OCLOBR;CODSIG
1;318;GERENTE LOJA FRANCO E;GERENTE LOJA FRANCO E;1414-15;2025-12-22;;;;
1;320;ANALISTA DEPARTAMENTO PESSOAL;ANALISTA DEPARTAMENTO PESSOAL;4131-05;2025-12-22;;;;
1;321;CHEFE DE SEÇÃO III;CHEFE DE SEÇÃO III;4101-05;2025-12-22;;;;
1;324;ANALISTA DE REDES;ANALISTA DE REDES;2124-10;2025-12-22;;;;
1;278;GERENTE DE COMUNICACAO E PROJE;GERENTE DE COMUNICACAO E PROJETOS;1423-10;2025-12-22;;;;
1;285;AUXILIAR DE EXPEDICAO;AUXILIAR DE EXPEDICAO;7832-15;2025-12-22;;;;
1;286;AUXILIAR DE EXPEDICAO II;AUXILIAR DE EXPEDICAO II;7832-15;2025-12-22;;;;
1;287;AUXILIAR DE EXPEDICAO III;AUXILIAR DE EXPEDICAO III;7832-15;2025-12-22;;;;
1;300;AUXILIAR DE MARKETING;AUXILIAR DE MARKETING;4110-05;2025-12-22;;;;
1;81;GERENTE DE LOJA E;GERENTE DE LOJA E;1414-15;2025-12-22;;;;
1;311;AUXILIAR CONTÁBIL;AUXILIAR CONTÁBIL;4131-10;2025-12-22;;;;
1;315;ASSISTENTE DE COMPRAS;ASSISTENTE DE COMPRAS;4110-10;2025-12-22;;;;
1;314;ASSISTENTE JURÍDICO;ASSISTENTE JURÍDICO;2410-05;2025-12-22;;;;
1;317;ASSIST. DE MARKETING - OPERACI;ASSISTENTE DE MARKETING - OPERACIONAL REDES;4110-10;2025-12-22;;;;
1;319;CONFERENTE DE ESTOQUE;CONFERENTE DE ESTOQUE;4141-05;2025-12-22;;;;
1;323;CHEFE DE SEÇÃO FLORESTAL;CHEFE DE SEÇÃO FLORESTAL;6301-10;2025-12-22;;;;
1;325;GERENTE REGIONAL;GERENTE REGIONAL;1421-05;2025-12-22;;;;
1;326;ASSISTENTE COMERCIAL TRAINEE;ASSISTENTE COMERCIAL TRAINEE;3541-25;2025-12-22;;;;
1;327;ANALISTA FINANCEIRO;ANALISTA FINANCEIRO;2525-45;2025-12-22;;;;
1;328;GERENTE DE LOJA HIBRIDA;GERENTE DE LOJA HIBRIDA;1414-15;2025-12-22;;;;
1;329;AUXILIAR DE VENDAS;AUXILIAR DE VENDAS;3541-25;2025-12-22;;;;
1;330;GERENTE VENDAS IMPORTAÇÃO;GERENTE VENDAS IMPORTAÇÃO;1423-05;2025-12-22;;;;
1;331;ANAL. DE RECRUTAMENTO E SELEÇÃ;ANALISTA DE RECRUTAMENTO E SELEÇÃO;2524-05;2025-12-22;;;;
1;228;CIE-E DE VENDEDOR TB.;CIE-E DE VENDEDOR TB.;5211-10;2025-12-22;;;;
1;128;GERENTE ADMINISTRATIVO;GERENTE ADMINISTRATIVO;1421-05;2025-12-22;;;;
1;50;CONFERENTE;CONFERENTE;4142-15;2025-12-22;;;;
1;58;AUXILIAR DE ESCRITORIO;AUXILIAR DE ESCRITORIO;4110-05;2025-12-22;;;;
1;293;CASEIRO;CASEIRO;6220-05;2025-12-22;;;;
1;316;SUPERVISOR FINANCEIRO;SUPERVISOR FINANCEIRO;4102-25;2025-12-22;;;;
1;284;DESIGNER DE MODA;DESIGNER DE MODA;2624-25;2025-12-22;;;;
1;333;PROGRAMADOR - DESENVOLVEDOR BA;PROGRAMADOR - DESENVOLVEDOR BACKEND;3171-10;2025-12-22;;;;
1;338;AUXILIAR DE DESIGN GRAFICO;AUXILIAR DE DESIGN GRAFICO;2624-10;2025-12-22;;;;
1;335;CHEFE DE SEÇÃO - INVENTÁRIO;CHEFE DE SEÇÃO - INVENTÁRIO;4101-05;2025-12-22;;;;
1;336;ASSISTENTE DE E-COMMERCE;ASSISTENTE DE E-COMMERCE;4110-10;2025-12-22;;;;
1;337;AUXILIAR DE E-COMMERCE;AUXILIAR DE E-COMMERCE;4110-05;2025-12-22;;;;
1;339;AUXILIAR DE SISTEMAS;AUXILIAR DE SISTEMAS;2124-05;2025-12-22;;;;
1;341;SUPERVISOR CONTABIL/FISCAL;SUPERVISOR CONTABIL/FISCAL;2522-10;2025-12-22;;;;
1;340;AUXILIAR DE SISTEMAS TRAINEE;AUXILIAR DE SISTEMAS TRAINEE;2124-05;2025-12-22;;;;
1;342;ANALISTA DE REDES TRAINEE;ANALISTA DE REDES TRAINEE;2124-10;2025-12-22;;;;
1;343;LIDER LOGISTICA;LIDER LOGISTICA;4101-05;2025-12-22;;;;
1;344;SUPERVISORA DE E-COMMERCE;SUPERVISORA DE E-COMMERCE;1423-15;2025-12-22;;;;
1;345;GERENTE DE E-COMMERCE;GERENTE DE E-COMMERCE;1423-15;2025-12-22;;;;
1;346;ASSIST. DE MARKETING - INSTITU;ASSISTENTE DE MARKETING - INSTITUCIONAL;4110-10;2025-12-22;;;;
1;347;ASSIST. DE MARKETING - REDES;ASSISTENTE DE MARKETING - REDES;4110-10;2025-12-22;;;;
1;348;GERENTE DE NEGOCIOS;GERENTE DE NEGOCIOS;1421-15;2025-12-22;;;;
1;349;OPERADOR DE NEGÓCIOS - FINANCE;OPERADOR DE NEGÓCIOS - FINANCEIRA;2532-25;2025-12-22;;;;
1;20;ANALISTA DE SISTEMAS TRAINEE;ANALISTA DE SISTEMAS TRAINEE;2124-05;2025-12-22;;;;
1;350;AUX. DE INSPEÇÃO DE QUALIDADE;AUXILIAR DE INSPEÇÃO DE QUALIDADE;3912-15;2025-12-22;;;;
1;351;ANAL. DE DESENVOLVIMENTO HUMAN;ANALISTA DE DESENVOLVIMENTO HUMANO;2524-05;2025-12-22;;;;
1;352;AUX. DE ESCRITORIO TEMPORARIO;AUXILIAR DE ESCRITORIO TEMPORARIO;4110-05;2025-12-22;;;;
1;353;ASSIST. DE COBRANCA - CENTRAL;ASSISTENTE DE COBRANCA - CENTRAL DE COBRANCA;4213-10;2025-12-22;;;;
1;354;ANALISTA DE COBRANÇA;ANALISTA DE COBRANÇA;4213-10;2025-12-22;;;;
1;355;GERENTE DE PRODUÇÃO;GERENTE DE PRODUÇÃO;1412-05;2025-12-22;;;;
1;356;SUPERVISOR DE PRODUÇÃO;SUPERVISOR DE PRODUÇÃO;1412-05;2025-12-22;;;;
1;359;ANALISTA DE SUPORTE TI;ANALISTA DE SUPORTE TI;2124-20;2025-12-22;;;;
1;357;ASSIST. DE CREDITO E COBRANCA;ASSISTENTE DE CREDITO E COBRANCA;4213-10;2025-12-22;;;;
1;358;ANALISTA DE COBRANÇA;ANALISTA DE COBRANÇA;4213-10;2025-12-22;;;;
1;360;ASSISTENTE DE CREDITO;ASSISTENTE DE CREDITO;4213-10;2025-12-22;;;;
1;361;ANALISTA DE RECURSOS HUMANOS;ANALISTA DE RECURSOS HUMANOS;2524-05;2025-12-22;;;;
1;362;SERVENTE ( FLORESTA );SERVENTE ( FLORESTA );5143-20;2025-12-22;;;;
1;363;ANALISTA DE MIDIAS SOCIAIS;ANALISTA DE MIDIAS SOCIAIS;2534-05;2025-12-22;;;;
1;364;AUXILIAR DE COBRANÇA - CENTRAL;AUXILIAR DE COBRANÇA - CENTRAL;4213-10;2025-12-22;;;;
1;365;AUXILIAR DE ATENDIMENTO;AUXILIAR DE ATENDIMENTO;4213-10;2025-12-22;;;;
1;366;ASSIST. FIN. - CONTAS A RECEBE;ASSISTENTE FINANCEIRO - CONTAS A RECEBER;4131-10;2025-12-22;;;;
1;292;SUPERVISOR OPERACIONAL - OBRAS;SUPERVISOR OPERACIONAL - OBRAS;1421-05;2025-12-22;;;;
1;367;AUXILIAR DE INVENTARIO;AUXILIAR DE INVENTARIO;4141-40;2025-12-22;;;;
1;368;AUXILIAR DE COBRANÇA;AUXILIAR DE COBRANÇA;4213-10;2025-12-22;;;;
1;369;AUXILIAR DE CRÉDITO;AUXILIAR DE CRÉDITO;4213-10;2025-12-22;;;;
1;370;AUXILIAR DE CRÉDITO E COBRANÇA;AUXILIAR DE CRÉDITO E COBRANÇA;4213-10;2025-12-22;;;;
1;371;SUPERVISOR TI - INFRA, SEG., S;SUPERVISOR TI - INFRA, SEG., SIST. TERC., SUPORTE;4121-20;2025-12-22;;;;
1;372;CHEFE ADMINISTRATIVO CS;CHEFE ADMINISTRATIVO CS;4101-05;2025-12-22;;;;
1;373;GERENTE FIN. - CONTAS A PAGAR;GERENTE FINANCEIRO - CONTAS A PAGAR;1421-05;2025-12-22;;;;
1;374;GERENTE FIN. - CONTAS A RECEBE;GERENTE FINANCEIRO - CONTAS A RECEBER;1421-05;2025-12-22;;;;
1;375;ANALISTA DE REQUISITOS JÚNIOR;ANALISTA DE REQUISITOS JÚNIOR;2124-05;2025-12-22;;;;
1;377;ANALISTA DE REQUISITOS SÊNIOR;ANALISTA DE REQUISITOS SÊNIOR;2124-05;2025-12-22;;;;
1;378;ASSIST. DE SERVICE DESK JÚNIOR;ASSISTENTE DE SERVICE DESK JÚNIOR;3172-10;2025-12-22;;;;
1;379;ASSIST. DE SERVICE DESK PLENO;ASSISTENTE DE SERVICE DESK PLENO;3172-10;2025-12-22;;;;
1;380;ASSIST. DE SERVICE DESK SÊNIOR;ASSISTENTE DE SERVICE DESK SÊNIOR;3172-10;2025-12-22;;;;
1;381;COMPRADOR EXPANSÃO;COMPRADOR EXPANSÃO;3542-05;2025-12-22;;;;
1;382;DESENVOLVEDOR FULL STACK JÚNIO;DESENVOLVEDOR FULL STACK JÚNIOR;3171-10;2025-12-22;;;;
1;383;ANALISTA CONTABIL E FISCAL;ANALISTA CONTABIL E FISCAL;2522-10;2025-12-22;;;;
1;384;LÍDER TECH PLENO;LÍDER TECH PLENO;2124-05;2025-12-22;;;;
1;385;LÍDER TECH SÊNIOR;LÍDER TECH SÊNIOR;2124-05;2025-12-22;;;;
1;386;ANAL. DE INFRAESTRUTURA JÚNIOR;ANALISTA DE INFRAESTRUTURA JÚNIOR;2124-05;2025-12-22;;;;
1;387;ASSIST. FIN. CONTAS A PAGAR;ASSISTENTE FINANCEIRO CONTAS A PAGAR;4131-10;2025-12-22;;;;
1;388;DESENVOLVEDOR FULL STACK PLENO;DESENVOLVEDOR FULL STACK PLENO;3171-10;2025-12-22;;;;
1;389;DESENVOLVEDOR FULL STACK SÊNIO;DESENVOLVEDOR FULL STACK SÊNIOR;3171-10;2025-12-22;;;;
1;390;SUPERVISOR ADMINISTRATIVO;SUPERVISOR ADMINISTRATIVO;4101-05;2025-12-22;;;;
1;391;SUPERVISOR ADMINISTRATIVO;SUPERVISOR ADMINISTRATIVO;4101-05;2025-12-22;;;;
1;392;AGENTE ADMINISTRATIVO;AGENTE ADMINISTRATIVO;4110-10;2025-12-22;;;;
1;393;AUXILIAR DE HELP DESK JÚNIOR;AUXILIAR DE HELP DESK JÚNIOR;3172-10;2025-12-22;;;;
1;394;AUXILIAR DE HELP DESK PLENO;AUXILIAR DE HELP DESK PLENO;3172-10;2025-12-22;;;;
1;395;AUXILIAR DE HELP DESK SÊNIOR;AUXILIAR DE HELP DESK SÊNIOR;3172-10;2025-12-22;;;;
1;396;ASSIST. DE INFRAESTRURA JÚNIOR;ASSISTENTE DE INFRAESTRURA JÚNIOR;2123-20;2025-12-22;;;;
1;397;ASSIST. DE INFRAESTRUTURA PLEN;ASSISTENTE DE INFRAESTRUTURA PLENO;2123-20;2025-12-22;;;;
1;404;ANAL. DE INFRAESTRUTURA JUNIOR;ANALISTA DE INFRAESTRUTURA JUNIOR;2124-10;2025-12-22;;;;
1;405;ANAL. DE INFRAESTRUTURA PLENO;ANALISTA DE INFRAESTRUTURA PLENO;2124-10;2025-12-22;;;;
1;406;ANAL. DE INFRAESTRUTURA SÊNIOR;ANALISTA DE INFRAESTRUTURA SÊNIOR;2124-10;2025-12-22;;;;
1;409;APRENDIZ;APRENDIZ;5211-25;2025-12-22;;;;
1;412;ASSIST. DE MARKETING - FINANCE;ASSISTENTE DE MARKETING - FINANCEIRA;4110-10;2025-12-22;;;;
1;410;SUPERVISOR DE TECNOLOGIA DA IN;SUPERVISOR DE TECNOLOGIA DA INFORMAÇÃO;2124-05;2025-12-22;;;;
1;418;ANALISTA DE DADOS JUNIOR;ANALISTA DE DADOS JUNIOR;2124-20;2025-12-22;;;;
1;419;ANALISTA DE DADOS PLENO;ANALISTA DE DADOS PLENO;2124-20;2025-12-22;;;;
1;420;ANALISTA DE DADOS SENIOR;ANALISTA DE DADOS SENIOR;2124-20;2025-12-22;;;;
1;423;OPERADOR DE MAQUINAS;OPERADOR DE MAQUINAS;7821-15;2025-12-22;;;;
1;1;DIRETOR;DIRETOR;1233-05;2025-12-22;;;;
1;411;CARGO GENÉRICO - PARA TESTES;CARGO GENÉRICO - PARA TESTES;3951-05;2025-12-22;;;;
1;416;ASSISTENTE JURIDICO;ASSISTENTE JURIDICO;2410-05;2025-12-22;;;;
1;417;AUXILIAR JURIDICO;AUXILIAR JURIDICO;3514-30;2025-12-22;;;;
1;422;GERENTE DE DADOS;GERENTE DE DADOS;2123-05;2025-12-22;;;;
1;376;ANALISTA DE REQUISITOS PLENO;ANALISTA DE REQUISITOS PLENO;2124-05;2025-12-22;;;;
1;437;GERENTE DE TI E PROCESSOS;GERENTE DE TI E PROCESSOS;1425-30;2025-12-22;;;;
1;400;ANALISTA ESTATÍSTICO;ANALISTA ESTATÍSTICO;2112-05;2025-12-22;;;;
1;426;ASSISTENTE FISCAL;ASSISTENTE FISCAL;2522-10;2025-12-22;;;;
1;7;GERENTE COMERCIAL;GERENTE COMERCIAL;1423-05;2025-12-22;;;;
1;427;ANAL. DE COMUNICAÇÃO INTERNA;ANALISTA DE COMUNICAÇÃO INTERNA;1423-35;2025-12-22;;;;
1;428;ASSIST. DE COMUNICAÇÃO INTERNA;ASSISTENTE DE COMUNICAÇÃO INTERNA;1423-35;2025-12-22;;;;
1;401;AUXILIAR DE IMPORTAÇÃO;AUXILIAR DE IMPORTAÇÃO;4110-45;2025-12-22;;;;
1;184;GERENTE LOJA FRANCO A;GERENTE LOJA FRANCO A;1414-15;2025-12-22;;;;
1;424;ANALISTA FISCAL;ANALISTA FISCAL;2522-10;2025-12-22;;;;
1;438;AUX. DE SERVIÇOS GERAIS MUNDIA;AUXILIAR DE SERVIÇOS GERAIS MUNDIART;5143-25;2025-12-22;;;;
1;439;AUX. DE VENDAS TRAINEE MUNDIAR;AUXILIAR DE VENDAS TRAINEE MUNDIART;3541-25;2025-12-22;;;;
1;440;ASSIST. DE VENDAS TRAINEE MUND;ASSISTENTE DE VENDAS TRAINEE MUNDIART;3541-25;2025-12-22;;;;
1;432;ANALISTA DE DADOS TRAINEE;ANALISTA DE DADOS TRAINEE;2124-20;2025-12-22;;;;
1;435;GERENTE DE DADOS MODELAGEM PER;GERENTE DE DADOS MODELAGEM PERFORMANCE DE NEGOCIO;1423-30;2025-12-22;;;;
1;173;OPERADOR EMPILHADEIRA;OPERADOR EMPILHADEIRA;7822-20;2025-12-22;;;;
1;403;GERENTE DE RELAÇOES INSTITUCIO;GERENTE DE RELAÇOES INSTITUCIONAIS;1423-10;2025-12-22;;;;
1;421;ANAL. DE SISTEMAS E PROCESSOS;ANALISTA DE SISTEMAS E PROCESSOS LOGISTICOS;2527-15;2025-12-22;;;;
1;415;ANALISTA DE VENDAS;ANALISTA DE VENDAS;1423-30;2025-12-22;;;;
1;433;CHEFE DE SEÇÃO CONTROLE DE QUA;CHEFE DE SEÇÃO CONTROLE DE QUALIDADE;4101-05;2025-12-22;;;;
1;434;ANAL. DE PERFORMANCE DE ESTOQU;ANALISTA DE PERFORMANCE DE ESTOQUE - ONEBEAT;2527-25;2025-12-22;;;;
1;436;GERENTE CONTABIL E DE OPERAÇÕE;GERENTE CONTABIL E DE OPERAÇÕES;1421-15;2025-12-22;;;;
1;398;ASSIST. DE INFRAESTRUTURA SÊNI;ASSISTENTE DE INFRAESTRUTURA SÊNIOR;2123-20;2025-12-22;;;;
1;407;GERENTE COMERCIAL FACÇÃO;GERENTE COMERCIAL FACÇÃO;1423-05;2025-12-22;;;;
1;408;GERENTE COMERCIAL IMPORTAÇÃO;GERENTE COMERCIAL IMPORTAÇÃO;1423-05;2025-12-22;;;;
1;413;GERENTE JURIDICA;GERENTE JURIDICA;2410-40;2025-12-22;;;;
1;414;GERENTE JURÍDICA;GERENTE JURÍDICA;2410-40;2025-12-22;;;;
1;399;GERENTE DE LOGISTICA;GERENTE DE LOGISTICA;1416-15;2025-12-22;;;;
1;402;GERENTE CONTÁBIL;GERENTE CONTÁBIL;2522-10;2025-12-22;;;;
1;425;ASSISTENTE FISCAL;ASSISTENTE FISCAL;2522-10;2025-12-22;;;;
1;429;ANAL. FIN. CONTAS A PAGAR;ANALISTA FINANCEIRO CONTAS A PAGAR;2525-45;2025-12-22;;;;
1;430;CHEFE DE SEÇÃO - CONTROLE DE Q;CHEFE DE SEÇÃO - CONTROLE DE QUALIDADE;3912-05;2025-12-22;;;;
1;431;GERENTE DE COBRANÇA;GERENTE DE COBRANÇA;4201-10;2025-12-22;;;;
